image_path,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,"BLIP-2, OPT-2.7b caption, greedy","BLIP-2, greedy, color and textures","BLIP-2, OPT-2.7b caption, nucleus sampling","BLIP-2, nucleus, color and textures","BLIP-2, OPT-2.7b caption, beam search","BLIP-2, beam, color and textures"
data/NOUN-2-600DPI/2011-600.jpg,2011,noisemaker,22,75,88,3,a green and orange plastic toy with two handles,"(['Orange', 'Green'], ['Plastic'])",the green plastic toy is sitting on the white table,"(['Green', 'White'], ['Plastic'])",a green and orange plastic toy with two handles,"(['Orange', 'Green'], ['Plastic'])"
data/NOUN-2-600DPI/2012-600.jpg,2012,coiled worm toy,41,50,59,41,a red plastic toy with orange tentacles,"(['Red', 'Orange'], ['Plastic'])",cotton ball and string - neon jellyfish,"([], [])",a red and orange plastic sea urchin on a white background,"(['Red', 'Orange'], ['Plastic'])"
data/NOUN-2-600DPI/2013-600.jpg,2013,sling shot,6,20,87,6,a yellow and orange plastic toy with a foot,"(['Orange', 'Yellow'], ['Plastic'])",a rubber footstool with a yellow and orange foot,"(['Orange', 'Yellow'], ['Rubber'])",an orange and yellow plastic stand with an orange top,"(['Orange', 'Yellow', 'Tan'], ['Plastic'])"
data/NOUN-2-600DPI/2014-600.jpg,2014,this light-up toy,38,75,39,0,a toy ball with a yellow and pink design,"(['Yellow', 'Pink'], [])",colorful pink ball with bright yellow handle,"(['Yellow', 'Pink'], [])",a pink and yellow ball with a yellow handle,"(['Yellow', 'Pink'], [])"
data/NOUN-2-600DPI/2015-600.jpg,2015,ball catcher,38,78,55,10,a blue plastic shoe holder with holes on the side,"(['Blue'], ['Plastic'])",shoe boot liner,"([], [])",a blue plastic shoe holder on a white background,"(['Blue'], ['Plastic'])"
data/NOUN-2-600DPI/2016 600dpi.jpg,2016,bird toy,28,21,61,6,a blue and white mop with a blue handle,"(['Blue', 'White'], [])",a dog toy with a large yellow and blue ball attached to it,"(['Yellow', 'Blue'], [])",an orange and blue mop with blue and white tassels,"(['Orange', 'Blue', 'White'], [])"
data/NOUN-2-600DPI/2017-600.jpg,2017,kenetic wheel,41,29,23,13,a metal and plastic device with a blue handle,"(['Blue'], ['Plastic'])",a metal bar with an object attached to it,"([], [])",a metal and plastic device with an orange ball attached to it,"(['Orange'], ['Plastic'])"
data/NOUN-2-600DPI/2018-600.jpg,2018,this coils string,16,50,61,6,a yellow plastic container with a lid,"(['Yellow'], ['Plastic'])",tuff-fit amber amber amber amber amber amber amber amber amber amber amber amber amber amber amber amber,"([], [])",a yellow plastic container with a lid on a white background,"(['Yellow'], ['Plastic'])"
data/NOUN-2-600DPI/2019-600.jpg,2019,cat nip toy,31,67,38,25,a yellow and orange plastic egg with a white background,"(['Orange', 'Yellow'], ['Plastic'])",a yellow and orange plastic egg with a fuschia head,"(['Orange', 'Yellow'], ['Plastic'])",a yellow and orange plastic egg with a white background,"(['Orange', 'Yellow'], ['Plastic'])"
data/NOUN-2-600DPI/2020.jpg,2020,jacobs ladder,41,36,29,6,a set of four colorful coasters with a ribbon,"([], [])",set of 8 coasters made from a wood board,"([], [])",a set of four wooden coasters in different colors,"([], ['Wooden'])"
data/NOUN-2-600DPI/2021-600.jpg,2021,foam arrow,9,29,84,3,a pink and green foam ball with four holes,"(['Green', 'Pink'], [])",a bunch of pink and green colored rollers,"(['Red', 'Green', 'Pink'], [])",a bunch of pink and green balloons on a white background,"(['Green', 'Pink'], [])"
data/NOUN-2-600DPI/2022-600.jpg,2022,marker,9,15,70,13,a green plastic cone with a small hole,"(['Green'], ['Plastic'])",green plastic water bottle,"(['Green'], ['Plastic'])",a green plastic object sitting on top of a white background,"(['Green'], ['Plastic'])"
data/NOUN-2-600DPI/2023-600.jpg,2023,color changing ball,13,31,87,17,a black and white ball with a white and black design,"(['Black', 'White'], [])",there is a white and black ball that looks like a flower,"(['Black', 'White'], [])",a black and white sculpture of a ball on a white surface,"(['Black', 'White'], [])"
data/NOUN-2-600DPI/2024-600.jpg,2024,connected disk toy,81,44,41,3,"a toy that is made of plastic and has a yellow, red and blue star","(['Red', 'Yellow', 'Blue'], ['Plastic'])",a toy is shown with a large yellow and blue star shaped object,"(['Yellow', 'Blue'], [])","a yellow, blue and red plastic toy with a star on it","(['Red', 'Yellow', 'Blue'], ['Plastic'])"
data/NOUN-2-600DPI/2025-600.jpg,2025,boomerang,6,14,58,13,a blue plastic foot rest with a white background,"(['Blue'], ['Plastic'])",the best footbeds to treat bunions and hammertoes,"([], [])",an image of a blue shoe with a white background,"(['Blue'], [])"
data/NOUN-2-600DPI/2026-600.jpg,2026,dog toy,16,71,63,17,a green and red plastic toy on a white background,"(['Red', 'Green'], ['Plastic'])",a green and red toy in a holder,"(['Red', 'Green'], [])",a green and red plastic dog toy on a white background,"(['Red', 'Green'], ['Plastic'])"
data/NOUN-2-600DPI/2027-600.jpg,2027,room freshener toy,22,38,47,9,a white ball with a hole in the middle,"(['White'], [])",a small white ball in the shape of a basketball,"(['White'], [])",a white plastic ball on a white surface,"(['White'], ['Plastic'])"
data/NOUN-2-600DPI/2028-600.jpg,2028,cat toy found at the pound store,6,47,53,63,a pink donut with three pom poms on it,"(['Pink'], [])","sadie and sissy earmuffs for women pink-sadie and sissy,","(['Pink'], [])",a pair of pink pom poms on a white background,"(['Pink'], [])"
data/NOUN-2-600DPI/2029-600.jpg,2029,cover for room fresheners,19,27,65,16,a black plastic device with a hole in the middle,"(['Black'], ['Plastic'])","pvc pipe clamp adapter for m4 m4 m4 front mount, pvc pipe, 30","([], [])",a close up of a black plastic device on a white background,"(['Black'], ['Plastic'])"
data/NOUN-2-600DPI/2030-600.jpg,2030,marker,9,43,53,0,a blue and purple plastic toy with a face,"(['Blue', 'Purple'], ['Plastic'])",brita water bottle refillable 3/8,"([], [])",a blue and purple figurine on a white background,"(['Blue', 'Purple'], [])"
data/NOUN-2-600DPI/2031.jpg,2031,book end,16,32,35,26,a metal object with a curved shape,"([], [])",a close up of a silver metal piece that is hanging from the wall,"(['Silver'], [])",stainless steel bracket with a curved shape,"([], [])"
data/NOUN-2-600DPI/2032-600.jpg,2032,submarine,47,90,50,3,a toy airplane shaped like a rocket on a white background,"([], [])",an orange plastic toy airplane that is holding its nose,"(['Orange'], ['Plastic'])",an orange plastic toy airplane on a white background,"(['Orange'], ['Plastic'])"
data/NOUN-2-600DPI/2033-600.jpg,2033,cat toy cage,9,57,55,3,a small orange plastic basket with a green handle,"(['Orange', 'Green'], ['Plastic'])",an orange crate with three squares on it,"(['Orange'], [])",an orange plastic basket with a green handle,"(['Orange', 'Green'], ['Plastic'])"
data/NOUN-2-600DPI/2034-600.jpg,2034,worm ball with cut off hands or stars,72,39,45,26,a pile of colorful rubber bands on a white background,"([], ['Rubber'])",a pile of colored and pink and orange colored rubber bands,"(['Red', 'Orange', 'Pink'], ['Rubber'])",a pile of colorful rubber bands on a white background,"([], ['Rubber'])"
data/NOUN-2-600DPI/2035-600.jpg,2035,giant pen with pen tip removed and cooper scourer pad on top,13,54,47,13,a blue and brown hair brush with a brown handle,"(['Blue', 'Brown'], [])",bungee - blue,"(['Blue'], [])",a blue and brown ball on a white background,"(['Blue', 'Brown'], [])"
data/NOUN-2-600DPI/2036-600.jpg,2036,cup-and-ball toy,59,70,20,20,"a wooden toy with a red, yellow and green ball","(['Red', 'Yellow', 'Green'], ['Wooden'])",a colorful wooden toy that has a colorful ball on top,"([], ['Wooden'])","a wooden toy hammer with a red, yellow, green and blue ball","(['Red', 'Yellow', 'Green', 'Blue'], ['Wooden'])"
data/NOUN-2-600DPI/2037-600.jpg,2037,teething ring with a bit photoshopped out,34,24,37,3,a pink plastic bracelet with four balls on it,"(['Pink'], ['Plastic'])",pink gel food & drink ring,"(['Pink'], [])",a pink plastic bracelet with four balls on it,"(['Pink'], ['Plastic'])"
data/NOUN-2-600DPI/2038-600.jpg,2038,heart shaped slinky,56,63,26,6,a colorful set of plastic rings with a heart shape,"([], ['Plastic'])",an upside down multicolored ribbon,"(['Red'], [])","an orange, yellow, green, and pink heart shaped toy","(['Orange', 'Yellow', 'Green', 'Pink'], [])"
data/NOUN-2-600DPI/2039-600.jpg,2039,led top,28,64,61,13,a green plastic toy with a cross on it,"(['Green'], ['Plastic'])",green plastic toys with small cross on top,"(['Green'], ['Plastic'])",a green plastic cross shaped toy on a white background,"(['Green'], ['Plastic'])"
data/NOUN-2-600DPI/2040-600.jpg,2040,rubber toy found in toy aisle,31,64,63,16,a blue and yellow toy with a ball,"(['Yellow', 'Blue'], [])",kibble and bones frisbee toy,"([], [])",a toy ball with blue and yellow hair,"(['Yellow', 'Blue'], [])"
data/NOUN-2-600DPI/2041-600.jpg,2041,massager,34,38,23,20,a wooden toy with four balls on it,"([], ['Wooden'])","wooden toys, kids, playhouse, wooden toys","([], ['Wooden'])",a wooden toy with four balls on a white background,"([], ['Wooden'])"
data/NOUN-2-600DPI/2042-600.jpg,2042,small personal fan without blades,38,67,81,3,a blue and yellow plastic spray bottle,"(['Yellow', 'Blue'], ['Plastic'])",a blue and yellow aerosol can,"(['Yellow', 'Blue'], [])",a blue and yellow spray bottle on a white background,"(['Yellow', 'Blue'], [])"
data/NOUN-2-600DPI/2043.jpg,2043,clacker,66,76,65,6,a toy with two balls and a string,"([], [])",ball-candy holder,"([], [])",a plastic toy with two balls attached to it,"([], ['Plastic'])"
data/NOUN-2-600DPI/2044-600.jpg,2044,diving toy with small weight,6,27,94,6,a toy with a blue ball and orange toothbrush,"(['Orange', 'Blue'], [])",hoover® p-cable™ orange,"(['Orange'], [])",an orange and blue toothbrush with a ball on it,"(['Orange', 'Blue'], [])"
data/NOUN-2-600DPI/2045-600.jpg,2045,wooden ball toy,25,29,3,55,a wooden spoon with five holes on it,"([], ['Wooden'])",a wooden paddle with five holes in it,"([], ['Wooden'])",a wooden toothbrush holder with five holes in it,"([], ['Wooden'])"
data/NOUN-2-600DPI/2046-600.jpg,2046,keychain with bubbles inside,34,67,42,3,a small clear plastic keychain with a small blue and green design,"(['Green', 'Blue'], ['Plastic'])",bickeyboard keychain - transparent,"([], ['Transparent'])","a clear plastic keychain with a blue, green and white design","(['Green', 'Blue', 'White'], ['Plastic'])"
data/NOUN-2-600DPI/2047-600.jpg,2047,perfume sprayer,41,32,50,3,a black and silver metal bottle with a white background,"(['Black', 'Silver'], [])","an air freshener with a black, silver and white stripe design","(['Black', 'White', 'Silver'], [])",a black and silver cigarette lighter on a white background,"(['Black', 'Silver'], [])"
data/NOUN-2-600DPI/2048-600.jpg,2048,worm ball with hands and stars cut off,13,47,55,6,a pile of colorful plastic balls on a white background,"([], ['Plastic'])",buddy's blue ball play set,"(['Blue'], [])",a pile of colorful plastic balls on a white background,"([], ['Plastic'])"
data/NOUN-2-600DPI/2049-600.jpg,2049,slide whistle,19,44,39,10,a blue pen with a metal hook on the end,"(['Blue'], [])",a blue pen with a hook on top of it,"(['Blue'], [])",a blue pen on a white background,"(['Blue'], [])"
data/NOUN-2-600DPI/2050-600.jpg,2050,mobile phone stand for a car,31,68,45,0,a black plastic car mount with a handle,"(['Black'], ['Plastic'])",car dash mount for android/iphone/ipad/android,"([], [])",a black plastic car mount on a white background,"(['Black'], ['Plastic'])"
data/NOUN-2-600DPI/2051-600.jpg,2051,finger castanet,53,60,47,9,a green toilet seat with a pink bow on it,"(['Green', 'Pink'], [])",the green plastic potty seat has an open lid,"(['Green'], ['Plastic'])",a green toilet seat with a pink bow on it,"(['Green', 'Pink'], [])"
data/NOUN-2-600DPI/2052-600.jpg,2052,noisemaker,41,53,63,7,a green plastic flower shaped tool with a pink handle,"(['Green', 'Pink'], ['Plastic'])",the tool is green with a pink handle,"(['Green', 'Pink'], [])",a green plastic spoon with a pink handle,"(['Green', 'Pink'], ['Plastic'])"
data/NOUN-2-600DPI/2053-600.jpg,2053,hand castanet,44,79,45,6,a red and black metal pole with two black handles,"(['Red', 'Black'], [])",a red metal pole with black handles on it,"(['Red', 'Black'], [])",a pair of black and red clippers on a white background,"(['Red', 'Black'], [])"
data/NOUN-2-600DPI/2054-600.jpg,2054,floating ball game,3,25,38,48,a wooden stick with a red handle on a white background,"(['Red'], ['Wooden'])",diy wooden wood handle hammer pvc for woodworking,"([], ['Wooden'])",a wooden stick with a red handle on a white background,"(['Red'], ['Wooden'])"
data/NOUN-2-600DPI/2055-600.jpg,2055,aroma therapy oil burner,13,33,53,13,a green vase with holes in it,"(['Green'], [])",a green vase with holes in it,"(['Green'], [])",a green vase with holes in it,"(['Green'], [])"
data/NOUN-2-600DPI/2056-600.jpg,2056,dog toy,19,59,61,13,a toy airplane shaped like a rainbow is on a white background,"([], [])",a plastic model of an airplane with a rainbow colored wings,"(['Red'], ['Plastic'])",a toy airplane shaped like a rainbow is on a white background,"([], [])"
data/NOUN-2-600DPI/2057-600.jpg,2057,spout for watering can,34,32,35,3,a red fan with a black handle on a white background,"(['Red', 'Black'], [])",an open red fan with two blades,"(['Red'], [])",a red fan with a black handle on a white background,"(['Red', 'Black'], [])"
data/NOUN-2-600DPI/2058-600.jpg,2058,hole for children golf game,22,33,58,3,a pink plastic toilet seat cover,"(['Pink'], ['Plastic'])",a pink toilet seat cover with a large circular hole,"(['Pink'], [])",a pink plastic toilet seat cover on a white background,"(['Pink'], ['Plastic'])"
data/NOUN-2-600DPI/2059-600.jpg,2059,maraca pen,75,92,28,0,a purple spoon with a handle on a white background,"(['Purple'], [])",silicone penis toy with an attachment - purple,"(['Purple'], [])",a purple spoon with a black handle on a white background,"(['Purple', 'Black'], [])"
data/NOUN-2-600DPI/2060-600.jpg,2060,dog toy with removed rope,38,32,55,29,a red plastic toy with four balls inside,"(['Red'], ['Plastic'])",a bottle with some red decorations sitting in the middle of the object,"(['Red'], [])",a close up of a red plastic toy that is shaped like a flower,"(['Red'], ['Plastic'])"
data/NOUN-2-600DPI/2061-600.jpg,2061,dog toy,53,53,59,13,a green donut with colorful dots on it,"(['Green'], [])",colorful green rubber toy dog donut,"(['Green'], ['Rubber'])",a green dog toy with colorful dots on it,"(['Green'], [])"
data/NOUN-2-600DPI/2062-600.jpg,2062,dog toy,44,56,29,42,an orange plastic ring with spikes on it,"(['Orange'], ['Plastic'])",doggy - wiggly paw - orange,"(['Orange'], [])",an orange rubber ring on a white background,"(['Orange'], ['Rubber'])"
data/NOUN-2-600DPI/2063-600.jpg,2063,magic loops,25,38,13,19,a metal sculpture with colorful beads on it,"([], [])",the wire structure has many colorful beads,"([], [])",a metal sculpture of a globe with multi colored beads on it,"(['Red'], [])"
data/NOUN-2-600DPI/2064-600.jpg,2064,massager,28,33,45,3,a green and silver object with legs,"(['Green', 'Silver'], [])",massage chair leg stool - green,"(['Green'], [])",a green foot massager on a white surface,"(['Green', 'White'], [])"
