image_path,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,"BLIP-2, greedy, caption","BLIP-2, greedy, bool","BLIP-2, greedy, name","BLIP-2, greedy, real","BLIP-2, greedy, caption saliency","BLIP-2, greedy, bool saliency","BLIP-2, greedy, color saliency","BLIP-2, greedy, real saliency","BLIP-2, nucleus, caption","BLIP-2, nucleus, bool","BLIP-2, nucleus, name","BLIP-2, nucleus, real","BLIP-2, nucleus, caption saliency","BLIP-2, nucleus, bool saliency","BLIP-2, nucleus, color saliency","BLIP-2, nucleus, real saliency","BLIP-2, beam, caption","BLIP-2, beam, bool","BLIP-2, beam, name","BLIP-2, beam, real","BLIP-2, beam, caption saliency","BLIP-2, beam, bool saliency","BLIP-2, beam, color saliency","BLIP-2, beam, real saliency"
data/NOUN-2-600DPI/2011-600.jpg,2011,noisemaker,22,75,88,3,a green and orange plastic toy with two handles,"Yes, I recognize this object",a toy,A toy that is made of plastic and has two orange and green plastic handles,"(['Orange', 'Green'], ['Plastic'])","([], [])","([], [])","(['Orange', 'Green'], ['Plastic'])",hotel kids' toys water pump,"No, not really",the thing that does things with the thing,The end of a drill driver.,"([], [])","([], [])","([], [])","([], [])",a green and orange plastic toy with two handles,"Yes or no, do you recognize this object?",a plastic toy with two orange and green balls attached to it,This is a plastic toy with two orange and one green handle,"(['Orange', 'Green'], ['Plastic'])","([], [])","(['Orange', 'Green'], ['Plastic'])","(['Orange', 'Green'], ['Plastic'])"
data/NOUN-2-600DPI/2012-600.jpg,2012,coiled worm toy,41,50,59,41,a red plastic toy with orange tentacles,"Yes, I recognize this object.",a red sea urchin,A red sea urchin,"(['Red', 'Orange'], ['Plastic'])","([], [])","(['Red'], [])","(['Red'], [])",a small plastic octopus with red and orange spines,Yes I am familiar with the color,a red spiky shell,"I don't know, what's it for?  I don't know why anyone would want it","(['Red', 'Orange'], ['Plastic'])","([], [])","(['Red'], [])","([], [])",a red and orange plastic sea urchin on a white background,"No, I do not recognize this object.",a sea urchin,It's a red sea urchin.,"(['Red', 'Orange'], ['Plastic'])","([], [])","([], [])","(['Red'], [])"
data/NOUN-2-600DPI/2013-600.jpg,2013,sling shot,6,20,87,6,a yellow and orange plastic toy with a foot,"Yes, it is a plastic bottle opener",a tripod,A giant orange and yellow plastic foot,"(['Orange', 'Yellow'], ['Plastic'])","([], ['Plastic'])","([], [])","(['Orange', 'Yellow'], ['Plastic'])",a plastic foot with two orange legs,"Yes or no, do you recognize this object?  - answer to question",the object in this image is an orange and orange toy with legs on both sides,"This is a stick shaped as an orange, yellow and grey dog","(['Orange'], ['Plastic'])","([], [])","(['Orange'], [])","(['Orange', 'Yellow'], [])",an orange and yellow plastic stand with an orange top,"Yes or no, do you recognize this object?",the object in this image is an orange and yellow toy,"This is an orange, yellow, and black plastic toy that is shaped like a tripod.","(['Orange', 'Yellow', 'Tan'], ['Plastic'])","([], [])","(['Orange', 'Yellow'], [])","(['Orange', 'Yellow', 'Black'], ['Plastic'])"
data/NOUN-2-600DPI/2014-600.jpg,2014,light-up toy,38,75,39,0,a toy ball with a yellow and pink design,"Yes, it is a ball with a yellow handle",a ball,A magic wand.,"(['Yellow', 'Pink'], [])","(['Yellow'], [])","([], [])","([], [])",a pink ball has an orange and yellow pattern,"Ball, check",a kazoo,This is a toy ball shaped like a musical instrument with a long stick sticking out the end.,"(['Orange', 'Yellow', 'Pink'], [])","([], [])","([], [])","([], [])",a pink and yellow ball with a yellow handle,"Yes, I recognize this object.",the object in this image is a pink ball with a yellow handle,It's a magic wand.,"(['Yellow', 'Pink'], [])","([], [])","(['Yellow', 'Pink'], [])","([], [])"
data/NOUN-2-600DPI/2015-600.jpg,2015,ball catcher,38,78,55,10,a blue plastic shoe holder with holes on the side,"Yes, I recognize this object.",a blue plastic shoe,A blue plastic shoe holder,"(['Blue'], ['Plastic'])","([], [])","(['Blue'], ['Plastic'])","(['Blue'], ['Plastic'])",a blue plastic ice holder,I recognize the item.,a vase,A small blue shoe that matches the rest of the blue items in the bathroom,"(['Blue'], ['Plastic'])","([], [])","([], [])","(['Blue'], [])",a blue plastic shoe holder on a white background,"No, I do not recognize this object",the object in this image is a blue plastic shoe holder,This is a blue plastic shoe holder with holes in it,"(['Blue'], ['Plastic'])","([], [])","(['Blue'], ['Plastic'])","(['Blue'], ['Plastic'])"
data/NOUN-2-600DPI/2016 600dpi.jpg,2016,bird toy,28,21,61,6,a blue and white mop with a blue handle,"Yes, it is a mop",a mop,A dog toy,"(['Blue', 'White'], [])","([], [])","([], [])","([], [])",proud to be a bully dog dog toy,Yes,a cone,A giant wad of chewing yarn,"([], [])","([], [])","([], [])","([], [])",an orange and blue mop with blue and white tassels,"Yes or no, do you recognize this object?",an orange cone with blue and white tassels,It's a mop.,"(['Orange', 'Blue', 'White'], [])","([], [])","(['Orange', 'Blue', 'White'], [])","([], [])"
data/NOUN-2-600DPI/2017-600.jpg,2017,kenetic wheel,41,29,23,13,a metal and plastic device with a blue handle,"Yes, I recognize this object",a metal ball and a metal hook,A toy mouse trap,"(['Blue'], ['Plastic'])","([], [])","([], [])","([], [])",toy - toy with metal parts - toy with plastic parts,"Yes, that is the same as yes",a wire ball puller,The best invention of the century!,"([], ['Plastic'])","([], [])","([], [])","([], [])",a metal and plastic device with an orange ball attached to it,"Yes or no, do you recognize this object?",the object in this image is a metal hook with a blue and orange ball attached to it,This is a cat toy.,"(['Orange'], ['Plastic'])","([], [])","(['Orange', 'Blue'], [])","([], [])"
data/NOUN-2-600DPI/2018-600.jpg,2018,coils string,16,50,61,6,a yellow plastic container with a lid,"Yes, it is a yellow plastic container",a yellow plastic container,A yellow plastic container with a lid,"(['Yellow'], ['Plastic'])","(['Yellow'], ['Plastic'])","(['Yellow'], ['Plastic'])","(['Yellow'], ['Plastic'])",yellow plastic dome with hole for a light,A yellow lid,yellow object with yellow dome,It's a plastic dish with a yellow lid,"(['Yellow'], ['Plastic'])","(['Yellow'], [])","(['Yellow'], [])","(['Yellow'], ['Plastic'])",a yellow plastic container with a lid on a white background,"Yes or no, do you recognize this object?",the object in this image is a yellow plastic container,This is a yellow plastic container with a lid,"(['Yellow'], ['Plastic'])","([], [])","(['Yellow'], ['Plastic'])","(['Yellow'], ['Plastic'])"
data/NOUN-2-600DPI/2019-600.jpg,2019,cat nip toy,31,67,38,25,a yellow and orange plastic egg with a white background,"Yes, it is a yellow egg with orange and white stripes",a candy corn,A candy corn egg,"(['Orange', 'Yellow'], ['Plastic'])","(['Orange', 'Yellow', 'White'], [])","([], [])","([], [])",candy corn shaped glass with orange and yellow hair,No,orange egg with yellow hat,This is a very special egg. The one you love.,"(['Orange', 'Yellow'], [])","([], [])","(['Orange', 'Yellow'], [])","([], [])",a yellow and orange plastic egg with a white background,"No, I don't recognize this object.",an orange and yellow egg with an orange and yellow hat on top of it,This is an orange and yellow plastic egg with an orange and yellow hat on top of it,"(['Orange', 'Yellow'], ['Plastic'])","([], [])","(['Orange', 'Yellow'], [])","(['Orange', 'Yellow'], ['Plastic'])"
data/NOUN-2-600DPI/2020.jpg,2020,ladder of jacob,41,36,29,6,a set of four colorful coasters with a ribbon,"Yes, it is a coaster",a coaster,A set of four colorful coasters,"([], [])","([], [])","([], [])","([], [])",four different colored square wooden coasters with a blue stripe,"I recognize this object, yes",a puzzle box,It's a box of play blocks.,"(['Red', 'Blue'], ['Wooden'])","([], [])","([], [])","([], [])",a set of four wooden coasters in different colors,"Yes, I recognize this object",a coaster,"This is a set of four wooden coasters, each with a different color","([], ['Wooden'])","([], [])","([], [])","([], ['Wooden'])"
data/NOUN-2-600DPI/2021-600.jpg,2021,foam arrow,9,29,84,3,a pink and green foam ball with four holes,"Yes, I recognize this object.",a flower,A bunch of pink and green balloons,"(['Green', 'Pink'], [])","([], [])","([], [])","(['Green', 'Pink'], [])","green, pink, and blue foam flower",Yes,"it's an ear hook, for the hearing impaired",An olfactory aid.,"(['Green', 'Blue', 'Pink'], [])","([], [])","(['Red'], [])","([], [])",a bunch of pink and green balloons on a white background,"Yes, I recognize this object.","the object in this image is a pink, green and black flower",It's a little bit of everything. It's a little bit of everything. It's a little,"(['Green', 'Pink'], [])","([], [])","(['Green', 'Pink', 'Black'], [])","([], [])"
data/NOUN-2-600DPI/2022-600.jpg,2022,marker,9,15,70,13,a green plastic cone with a small hole,"Yes, it is a green plastic cone",a green plastic cone,A green plastic water bottle,"(['Green'], ['Plastic'])","(['Green'], ['Plastic'])","(['Green'], ['Plastic'])","(['Green'], ['Plastic'])","green plastic flower pot, side view",green bottle,a green glass sphere,It's a plastic water bottle,"(['Green'], ['Plastic'])","(['Green'], [])","(['Green'], [])","([], ['Plastic'])",a green plastic object sitting on top of a white background,"Yes or no, do you recognize this object?",a green plastic water bottle with a hole in the top,This is a green plastic water bottle with a hole in the top,"(['Green'], ['Plastic'])","([], [])","(['Green'], ['Plastic'])","(['Green'], ['Plastic'])"
data/NOUN-2-600DPI/2023-600.jpg,2023,color changing ball,13,31,87,17,a black and white ball with a white and black design,"Yes, it is a black and white ball",a ball,A black and white ball with a bunch of white and black objects,"(['Black', 'White'], [])","(['Black', 'White'], [])","([], [])","(['Black', 'White'], [])",a flower ball in black and white with a black bow and a white stem,Black & white vinyl flower,black and white,Black & white origami,"(['Black', 'White'], [])","(['Black', 'White'], [])","(['Black', 'White'], [])","(['Black', 'White'], [])",a black and white sculpture of a ball on a white surface,"Yes, I recognize this object.",a black and white ball,I think this is a black and white ball with a bunch of black and white balls inside of it,"(['Black', 'White'], [])","([], [])","(['Black', 'White'], [])","(['Black', 'White'], [])"
data/NOUN-2-600DPI/2024-600.jpg,2024,connected disk toy,81,44,41,3,"a toy that is made of plastic and has a yellow, red and blue star",Yes,a toy,"A toy that is made of plastic and has a yellow, red and blue star on it","(['Red', 'Yellow', 'Blue'], ['Plastic'])","([], [])","([], [])","(['Red', 'Yellow', 'Blue'], ['Plastic'])",the three children's blocks,"___________, no, no",toy building parts,A toy ball.,"([], [])","([], [])","([], [])","([], [])","a yellow, blue and red plastic toy with a star on it","Yes, I recognize this object.",a sunflower.,I think it's a toy.,"(['Red', 'Yellow', 'Blue'], ['Plastic'])","([], [])","([], [])","([], [])"
data/NOUN-2-600DPI/2025-600.jpg,2025,boomerang,6,14,58,13,a blue plastic foot rest with a white background,"Yes, it is a blue plastic foot rest",a shoe,A blue plastic footrest,"(['Blue'], ['Plastic'])","(['Blue'], ['Plastic'])","([], [])","(['Blue'], ['Plastic'])",a close - up view of the blue plastic foot rest,blue marble footstool with marble pattern,a marbled rubber shoe with a toe hook on top of it,A rubber-like moldable support gel used in orthotic therapy,"(['Blue'], ['Plastic'])","(['Blue'], [])","([], ['Rubber'])","([], ['Rubber'])",an image of a blue shoe with a white background,"Yes or no, do you recognize this object? Yes or no, do you recognize this object?",the object in this image is a blue shoe,"I think it's a footrest for a chair, but I don't know what kind of chair","(['Blue'], [])","([], [])","(['Blue'], [])","([], [])"
data/NOUN-2-600DPI/2026-600.jpg,2026,dog toy,16,71,63,17,a green and red plastic toy on a white background,"Yes, it is a green and red plastic toy",a dog bone,A dog toy,"(['Red', 'Green'], ['Plastic'])","(['Red', 'Green'], ['Plastic'])","([], [])","([], [])",cobalt green/red dog chew bone,"Yes, the object is the handlebar for my scooter",a plastic exercise exercise equipment,It's a large bone head!,"(['Red', 'Green'], [])","([], [])","([], ['Plastic'])","([], [])",a green and red plastic dog toy on a white background,"Yes, I recognize this object.",the object in this image is a green and red dog toy,This is a green and red plastic dog toy,"(['Red', 'Green'], ['Plastic'])","([], [])","(['Red', 'Green'], [])","(['Red', 'Green'], ['Plastic'])"
data/NOUN-2-600DPI/2027-600.jpg,2027,cover for room fresheners,22,38,47,9,a white ball with a hole in the middle,"Yes, I recognize this object",a ball,A ball of plastic,"(['White'], [])","([], [])","([], [])","([], ['Plastic'])",an animal ball with a hole in the bottom,"You will receive an email to your Q email account. The email must include at least one ""Reply",A ball and socket,"a big, white and very small object that does not belong to it","([], [])","([], [])","([], [])","(['White'], [])",a white plastic ball on a white surface,"No, I do not recognize this object",a ball,This is a white plastic ball with a hole in the middle,"(['White'], ['Plastic'])","([], [])","([], [])","(['White'], ['Plastic'])"
data/NOUN-2-600DPI/2028-600.jpg,2028,cat toy,6,47,53,63,a pink donut with three pom poms on it,"Yes, it is a pink donut",a donut,A pink donut with a pink handle,"(['Pink'], [])","(['Pink'], [])","([], [])","(['Pink'], [])",the little pink donut with the pink hair ties is shown,"Yes or no, pink fluffy animal ears",an earflip,My friend's sister's pink puppy toy!,"(['Pink'], [])","(['Pink'], [])","([], [])","(['Pink'], [])",a pair of pink pom poms on a white background,"Yes, I recognize this object.",a donut,It's a donut holder.,"(['Pink'], [])","([], [])","([], [])","([], [])"
data/NOUN-2-600DPI/2029-600.jpg,2029,cover for room fresheners,19,27,65,16,a black plastic device with a hole in the middle,"Yes, it is a black plastic button",a black plastic cylinder,A black plastic button with a hole in the middle,"(['Black'], ['Plastic'])","(['Black'], ['Plastic'])","(['Black'], ['Plastic'])","(['Black'], ['Plastic'])",a close up of the rear of a metal speaker,Yes,the object in this image is black and white,this is a toy-scale black button for the front of a small gas,"([], [])","([], [])","(['Black', 'White'], [])","(['Black'], [])",a close up of a black plastic device on a white background,"Yes or no, do you recognize this object? Yes or no, do you recognize this object?",the object in this image is a black plastic device,I think it's a piece of black plastic with a hole in it,"(['Black'], ['Plastic'])","([], [])","(['Black'], ['Plastic'])","(['Black'], ['Plastic'])"
data/NOUN-2-600DPI/2030-600.jpg,2030,marker,9,43,53,0,a blue and purple plastic toy with a face,"Yes, it is a blue and purple plastic toy",a blue and purple plastic toy,A cute little blue and purple plastic toy,"(['Blue', 'Purple'], ['Plastic'])","(['Blue', 'Purple'], ['Plastic'])","(['Blue', 'Purple'], ['Plastic'])","(['Blue', 'Purple'], ['Plastic'])",a picture of a purple and black figure toy,The little blue plastic pig.,a small blue and white pig,It's a little girl,"(['Purple', 'Black'], [])","(['Blue'], ['Plastic'])","(['Blue', 'White'], [])","([], [])",a blue and purple figurine on a white background,"Yes, I recognize this object",a water bottle with a blue lid and a purple handle,I think it's a cute little toy.,"(['Blue', 'Purple'], [])","([], [])","(['Blue', 'Purple'], [])","([], [])"
data/NOUN-2-600DPI/2031.jpg,2031,book end,16,32,35,26,a metal object with a curved shape,"Yes, I recognize this object.",a metal wave,A metal wave shaped object,"([], [])","([], [])","([], [])","([], [])",a silver metal folding door handle on a white background,Yes I recognize this object,the shape of the chair on the bench is wavy,A metal wave of a metal cup,"(['Silver'], [])","([], [])","([], [])","([], [])",stainless steel bracket with a curved shape,"Yes or no, do you recognize this object?",the object in this image is a stainless steel arm rest,I think this is a piece of metal that has been bent to look like a wave.,"([], [])","([], [])","([], [])","([], [])"
data/NOUN-2-600DPI/2032-600.jpg,2032,submarine,47,90,50,3,a toy airplane shaped like a rocket on a white background,"Yes, it is a rocket",a rocket,A toy rocket,"([], [])","([], [])","([], [])","([], [])",blue cat cat toy orange kitty cat toys,"yes, I recognize this object, this is the object with my name written on it",a boat!,The greatest invention of all time,"(['Orange', 'Blue'], [])","([], [])","([], [])","([], [])",an orange plastic toy airplane on a white background,"Yes, I recognize this object.",an orange rocket shaped toy on a white background,This is an orange plastic toy airplane with a blue propeller on top,"(['Orange'], ['Plastic'])","([], [])","(['Orange'], [])","(['Orange', 'Blue'], ['Plastic'])"
data/NOUN-2-600DPI/2033-600.jpg,2033,cat toy cage,9,57,55,3,a small orange plastic basket with a green handle,Yes,a toy box,A toy box,"(['Orange', 'Green'], ['Plastic'])","([], [])","([], [])","([], [])",orange plastic storage box for the toilet,This orange metal toy box fits my dollhouse and it looks like it has been made by a little,The orange plastic box has three triangles on it,An Orange Cube Sorter.I don't know why but it made me laugh.,"(['Orange'], ['Plastic'])","(['Orange'], [])","(['Orange'], ['Plastic'])","(['Orange'], [])",an orange plastic basket with a green handle,"No, I do not recognize this object",an orange plastic box with a green handle,This is an orange and green plastic toy box,"(['Orange', 'Green'], ['Plastic'])","([], [])","(['Orange', 'Green'], ['Plastic'])","(['Orange', 'Green'], ['Plastic'])"
data/NOUN-2-600DPI/2034-600.jpg,2034,worm ball with cut off hands or stars,72,39,45,26,a pile of colorful rubber bands on a white background,"Yes, it is a rubber ball",a pile of colorful rubber bands,A pile of colorful rubber bands,"([], ['Rubber'])","([], ['Rubber'])","([], ['Rubber'])","([], ['Rubber'])",a pile of different colored rubber strings with different colored tips,Yes,a mushroom,It's just a pile of colored rubber snakes,"(['Red'], ['Rubber'])","([], [])","([], [])","(['Red'], ['Rubber'])",a pile of colorful rubber bands on a white background,"Yes, I recognize this object.",a pile of colorful rubber bands on a white background,I think it's a pile of rubber bands.,"([], ['Rubber'])","([], [])","([], ['Rubber'])","([], ['Rubber'])"
data/NOUN-2-600DPI/2035-600.jpg,2035,giant pen with pen tip removed and cooper scourer pad on top,13,54,47,13,a blue and brown hair brush with a brown handle,"Yes, it is a ball of yarn",a ball,A blue and brown ball with a red handle,"(['Blue', 'Brown'], [])","([], [])","([], [])","(['Red', 'Blue', 'Brown'], [])",cotton swab lint trap,"Yes, the object is a toilet plunger.",a corker,"A giant, furry teddy bear.","([], [])","([], [])","([], [])","([], ['Furry'])",a blue and brown ball on a white background,"No, I do not recognize this object",the object in this image is a blue and brown ball,"It’s a hair dryer, but it’s not a hair dryer.","(['Blue', 'Brown'], [])","([], [])","(['Blue', 'Brown'], [])","([], ['Dry'])"
data/NOUN-2-600DPI/2036-600.jpg,2036,cup and ball toy,59,70,20,20,"a wooden toy with a red, yellow and green ball","Yes, it is a wooden toy hammer",a wooden toy hammer,A wooden toy hammer,"(['Red', 'Yellow', 'Green'], ['Wooden'])","([], ['Wooden'])","([], ['Wooden'])","([], ['Wooden'])","a wooden toy with red, yellow and green paint stripes on it","A toy hammer and ball, wooden toy and wooden balls, wooden toy and wooden balls",a wooden toy whacker with a plastic ball,It's a toy trumpet!,"(['Red', 'Yellow', 'Green'], ['Wooden'])","([], ['Wooden'])","([], ['Wooden', 'Plastic'])","([], [])","a wooden toy hammer with a red, yellow, green and blue ball","Yes, I recognize this object.","a wooden toy hammer with a red, yellow, green, and blue ball","This is a wooden toy hammer with a red, yellow, green, and blue ball attached to it","(['Red', 'Yellow', 'Green', 'Blue'], ['Wooden'])","([], [])","(['Red', 'Yellow', 'Green', 'Blue'], ['Wooden'])","(['Red', 'Yellow', 'Green', 'Blue'], ['Wooden'])"
data/NOUN-2-600DPI/2037-600.jpg,2037,teething ring,34,24,37,3,a pink plastic bracelet with four balls on it,"Yes, I recognize this object.",a pink plastic ring,A pink plastic ring with four balls on it,"(['Pink'], ['Plastic'])","([], [])","(['Pink'], ['Plastic'])","(['Pink'], ['Plastic'])",pink plastic teeth with a white background,This image represents a small collection of Q&A images,an oval,It's the latest generation of the silicone gummy-ring,"(['Pink'], ['Plastic'])","([], [])","([], [])","([], ['Gummy'])",a pink plastic bracelet with four balls on it,"Yes or no, do you recognize this object? Yes or no, do you recognize this object?",it's a pink plastic ring with four balls on it,It’s a pink rubber ring with a bunch of balls on it,"(['Pink'], ['Plastic'])","([], [])","(['Pink'], ['Plastic'])","(['Pink'], ['Rubber'])"
data/NOUN-2-600DPI/2038-600.jpg,2038,heart shaped slinky,56,63,26,6,a colorful set of plastic rings with a heart shape,"Yes, I recognize this object.",a heart,A giant rubber band,"([], ['Plastic'])","([], [])","([], [])","([], ['Rubber'])",two colorful heart shaped trays stacked together in a line,"Yes, I recognize this object.",an object.,"We're just a couple of silly engineers, but what it is is a pair of rubber bands.","([], [])","([], [])","([], [])","([], ['Rubber'])","an orange, yellow, green, and pink heart shaped toy","Yes, I recognize this object",an object in this image is called an object in this image is called an object in this image is,I think it's a bunch of rubber bands that have been twisted together to form a heart shape.,"(['Orange', 'Yellow', 'Green', 'Pink'], [])","([], [])","([], [])","([], ['Rubber'])"
