image,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,"BLIP-2, greedy, caption","BLIP-2, beam, caption","BLIP-2, nucleus, caption","BLIP-2, greedy, bool","BLIP-2, beam, bool","BLIP-2, nucleus, bool","BLIP-2, greedy, name","BLIP-2, nucleus, name","BLIP-2, greedy, real","BLIP-2, beam, real","BLIP-2, nucleus, real","BLIP-2, greedy, color and textures","BLIP-2, nucleus, color and textures","BLIP-2, beam, color and textures",color greedy,color nucleus,color beam,texture greedy,texture nucleus,texture beam,length greedy,length nucleus,length beam,BERTScore beam real,BERTScore greedy real,BERTScore nucleus real,BERTScore nameability caption,BERTScore nameability real
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B3F8A60>,2011,noisemaker,22,75,88,3,a green and orange plastic toy with two handles,a green and orange plastic toy with two handles,a plastic toy with an orange and green handle,"Yes, I recognize this object",Unknown,"Yes, yes",a plastic toy with two orange and green balls attached to it,toy gun,A toy that is made of plastic and has two orange and green plastic handles,This is a plastic toy with two orange and one green handle,My daughter wants to make a toy of this,   Orange    Green      Plastic   ,   Orange    Green      Plastic   ,   Orange    Green      Plastic   ,True,True,True,True,True,True,9,9,9,0.77391386,0.77344126,0.80002534,0.97071815,0.8790992
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B3F8D60>,2012,coiled worm toy,41,50,59,41,a red plastic toy with orange tentacles,a red and orange plastic sea urchin on a white background,plastic red sea urchin on white background,"Yes, I recognize this object.","No, I do not recognize this object.",No,a sea urchin,"The creature is called an Echinoderm or Sea Urchin, or Sea Slug in the Hawaiian",A red sea urchin,It's a red sea urchin.,"This is my first attempt at a blog post and I'm not sure about everything, so please give",   Red    Orange      Plastic   ,   Red      Plastic   ,   Red    Orange      Plastic   ,True,True,True,True,True,True,7,7,11,0.82809573,0.81640905,0.787418,0.90110105,0.85352665
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B3F8250>,2013,sling shot,6,20,87,6,a yellow and orange plastic toy with a foot,an orange and yellow plastic stand with an orange top,a orange and orange plastic foot stand,"Yes, it is a plastic bottle opener",Unknown,The only answer is yes or no. This means you should give your response in the affirmative,the object in this image is an orange and yellow toy,a plastic orange bird,A giant orange and yellow plastic foot,"This is an orange, yellow, and black plastic toy that is shaped like a tripod.","A leg for a toy car, which holds a bottle of soda.",   Orange    Yellow      Plastic   ,   Orange    Tan      Plastic   ,   Orange    Yellow    Tan      Plastic   ,True,True,True,True,True,True,9,7,10,0.8010539,0.8089503,0.82669955,0.9259691,0.87230355
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B3FB310>,2014,this light-up toy,38,75,39,0,a toy ball with a yellow and pink design,a pink and yellow ball with a yellow handle,paintball shooting party ball,"Yes, it is a ball with a yellow handle","Yes, I recognize this object.","Yes, I know this is a pop-up toy, and I also know that it is a",the object in this image is a pink ball with a yellow handle,a magic wand,A magic wand.,It's a magic wand.,"a toy made of colorful plastic balls and a long rod,",   Yellow    Pink       ,        ,   Yellow    Pink       ,True,False,True,False,False,False,9,4,9,0.8897933,0.90848744,0.88564557,0.8640749,0.90024394
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B3FB610>,2015,ball catcher,38,78,55,10,a blue plastic shoe holder with holes on the side,a blue plastic shoe holder on a white background,the bottom side of a blue plastic ice maker,"Yes, I recognize this object.","No, I do not recognize this object",Yes,the object in this image is a blue plastic shoe holder,"a blue, oval-shaped, hole-pocked, smooth plastic object",A blue plastic shoe holder,This is a blue plastic shoe holder with holes in it,A large blue toy.A good night of sleep,   Blue      Plastic   ,   Blue      Plastic   ,   Blue      Plastic   ,True,True,True,True,True,True,10,9,9,0.84104806,0.8631122,0.85231274,0.9078767,0.9039909
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B3FB880>,2016,bird toy,28,21,61,6,a blue and white mop with a blue handle,an orange and blue mop with blue and white tassels,"hope pet hanger dog toy, toy size, 1/3 lb/100 kg","Yes, it is a mop",Unknown,Yes I recognize this object,an orange cone with blue and white tassels,the object in this image is a dog cone,A dog toy,It's a mop.,A dinglehopper from the 80's.,   Blue    White       ,        ,   Orange    Blue    White       ,True,False,True,False,False,False,9,10,10,0.88753384,0.95520854,0.86604047,0.86008865,0.87374306
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B3FB8E0>,2017,kenetic wheel,41,29,23,13,a metal and plastic device with a blue handle,a metal and plastic device with an orange ball attached to it,a plastic object that is connected to the device,"Yes, I recognize this object",Unknown,No,the object in this image is a metal hook with a blue and orange ball attached to it,a paper clip,A toy mouse trap,This is a cat toy.,A plastic spinner with a blue and orange handle.,   Blue      Plastic   ,       Plastic   ,   Orange      Plastic   ,True,False,True,True,True,True,9,9,12,0.82027155,0.8146925,0.8075199,0.91873026,0.88354087
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B3FBBE0>,2018,this coils string,16,50,61,6,a yellow plastic container with a lid,a yellow plastic container with a lid on a white background,yellow dish with yellow top sits on top of a white surface,"Yes, it is a yellow plastic container",Unknown,No,the object in this image is a yellow plastic container,yellow food container,A yellow plastic container with a lid,This is a yellow plastic container with a lid,An air conditioner.,   Yellow      Plastic   ,   Yellow    White       ,   Yellow      Plastic   ,True,True,True,True,False,True,7,12,11,0.83888584,0.8441808,0.83973604,0.9157025,0.8883893
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B3FBE50>,2019,cat nip toy,31,67,38,25,a yellow and orange plastic egg with a white background,a yellow and orange plastic egg with a white background,"a yellow, orange and white plastic bird with an orange tuft of hair","Yes, it is a yellow egg with orange and white stripes","No, I don't recognize this object.",I have no idea what this is,an orange and yellow egg with an orange and yellow hat on top of it,a cat toy,A candy corn egg,This is an orange and yellow plastic egg with an orange and yellow hat on top of it,"It's an eyeball in a glass case, sir.Curious to know if you find",   Orange    Yellow      Plastic   ,   Orange    Yellow    White      Plastic   ,   Orange    Yellow      Plastic   ,True,True,True,True,True,True,10,13,10,0.81973106,0.8619707,0.81860715,0.94976026,0.8489862
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B3FB0A0>,2020,jacobs ladder,41,36,29,6,a set of four colorful coasters with a ribbon,a set of four wooden coasters in different colors,"powwow square coasters, set of 6","Yes, it is a coaster","Yes, I recognize this object",Yes I recognize this object,a coaster,a rectangular block,A set of four colorful coasters,"This is a set of four wooden coasters, each with a different color",I'm sure it's the same thing as the other 8,        ,        ,       Wooden   ,False,False,False,False,False,True,9,6,9,0.7825122,0.7881648,0.7913873,0.91285723,0.87112683
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B401160>,2021,foam arrow,9,29,84,3,a pink and green foam ball with four holes,a bunch of pink and green balloons on a white background,corkscrews | hinged corkscrew with push bar & push plate & metal push rod,"Yes, I recognize this object.","Yes, I recognize this object.","All answers must be affirmative or negative, no gray","the object in this image is a pink, green and black flower",the object in this image is a set of four pink and green cones,A bunch of pink and green balloons,It's a little bit of everything. It's a little bit of everything. It's a little,It's a flower,   Green    Pink       ,        ,   Green    Pink       ,True,False,True,False,False,False,9,14,11,0.81816566,0.85961825,0.8762658,0.8462779,0.8383899
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B4013D0>,2022,marker,9,15,70,13,a green plastic cone with a small hole,a green plastic object sitting on top of a white background,a small green bottle with a cap on top,"Yes, it is a green plastic cone",Unknown,"If it's green, I would say yes",a green plastic water bottle with a hole in the top,green water bottle stopper,A green plastic water bottle,This is a green plastic water bottle with a hole in the top,It's a water spigot.,   Green      Plastic   ,   Green       ,   Green      Plastic   ,True,True,True,True,False,True,8,9,11,0.82309395,0.8305173,0.8362496,0.9083126,0.90362245
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B4016D0>,2023,color changing ball,13,31,87,17,a black and white ball with a white and black design,a black and white sculpture of a ball on a white surface,a white and black ball covered in plastic,"Yes, it is a black and white ball","Yes, I recognize this object.",Yes,a black and white ball,a ball,A black and white ball with a bunch of white and black objects,I think this is a black and white ball with a bunch of black and white balls inside of it,This is a black and white spider,   Black    White       ,   Red    Black    White      Plastic   ,   Black    White       ,True,True,True,False,True,False,11,8,12,0.8389601,0.84196025,0.82579106,0.9108772,0.8978777
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B4019D0>,2024,connected disk toy,81,44,41,3,"a toy that is made of plastic and has a yellow, red and blue star","a yellow, blue and red plastic toy with a star on it",tiger star multi-spike block set,Yes,"Yes, I recognize this object.",Yes - toy,a sunflower.,a globe,"A toy that is made of plastic and has a yellow, red and blue star on it",I think it's a toy.,The sun!,   Red    Yellow    Blue      Plastic   ,        ,   Red    Yellow    Blue      Plastic   ,True,False,True,True,False,True,15,5,12,0.865432,0.84583706,0.85659707,0.8738635,0.85320956
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B401CD0>,2025,boomerang,6,14,58,13,a blue plastic foot rest with a white background,an image of a blue shoe with a white background,a blue shoe in the shape of a foot,"Yes, it is a blue plastic foot rest",Unknown,Yes,the object in this image is a blue shoe,a blue marble shoe holder,A blue plastic footrest,"I think it's a footrest for a chair, but I don't know what kind of chair",You'll get a better answer at http://www.answers.com/topic/sh,   Blue      Plastic   ,   Blue       ,   Blue       ,True,True,True,True,False,False,9,9,10,0.77356863,0.8043439,0.7778022,0.9121974,0.8179081
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B401FD0>,2026,dog toy,16,71,63,17,a green and red plastic toy on a white background,a green and red plastic dog toy on a white background,giant xplore dog walking harness,"Yes, it is a green and red plastic toy","Yes, I recognize this object.",Yes,the object in this image is a green and red dog toy,a toilet seat,A dog toy,This is a green and red plastic dog toy,A green rubber dog bone shaped like a hockey puck,   Red    Green      Plastic   ,        ,   Red    Green      Plastic   ,True,False,True,True,False,True,10,5,11,0.8858953,0.9566142,0.8673722,0.8877637,0.90080434
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B401100>,2027,room freshener toy,22,38,47,9,a white ball with a hole in the middle,a white plastic ball on a white surface,a white ball that is on a white surface,"Yes, I recognize this object","No, I do not recognize this object",No. There is nothing there.,a ball,A plastic sphere with two small round holes for eyes,A ball of plastic,This is a white plastic ball with a hole in the middle,A hollow ball with a cover,   White       ,   White       ,   White      Plastic   ,True,True,True,False,False,True,9,9,8,0.8106351,0.8140403,0.833806,0.91936785,0.8833401
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B426610>,2028,cat toy found at the pound store,6,47,53,63,a pink donut with three pom poms on it,a pair of pink pom poms on a white background,faux fur donut holder - pink - 8,"Yes, it is a pink donut","Yes, I recognize this object.",I can not recognize this object.,a donut,you call it a flower wreath pink,A pink donut with a pink handle,It's a donut holder.,This is a pink stuffed doughnut with a tail on it,   Pink       ,   Pink       ,   Pink       ,True,True,True,False,False,False,9,8,10,0.86855865,0.8552609,0.85584146,0.8666558,0.9080269
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B426880>,2029,cover for room fresheners,19,27,65,16,a black plastic device with a hole in the middle,a close up of a black plastic device on a white background,a black plastic black speaker with an open black button,"Yes, it is a black plastic button",Unknown,"[object], yes, I recognize",the object in this image is a black plastic device,"a bane, it's a special type of grenade designed to explode when you throw it",A black plastic button with a hole in the middle,I think it's a piece of black plastic with a hole in it,The future of gun control and ammunition,   Black      Plastic   ,   Black      Plastic   ,   Black      Plastic   ,True,True,True,True,True,True,10,10,12,0.82466185,0.8352232,0.84223735,0.8965483,0.8588241
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B426B80>,2030,marker,9,43,53,0,a blue and purple plastic toy with a face,a blue and purple figurine on a white background,a small plastic figurine with a purple face and blue eyes,"Yes, it is a blue and purple plastic toy","Yes, I recognize this object",A blue and purple plastic figurine,a water bottle with a blue lid and a purple handle,A teddy bear,A cute little blue and purple plastic toy,I think it's a cute little toy.,A dog food dispenser,   Blue    Purple      Plastic   ,   Blue    Purple      Plastic   ,   Blue    Purple       ,True,True,True,True,True,False,9,11,9,0.8274371,0.8119463,0.8467284,0.9233454,0.8736627
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B426E80>,2031,book end,16,32,35,26,a metal object with a curved shape,stainless steel bracket with a curved shape,silver metal clip with wavy design on white background,"Yes, I recognize this object.",Unknown,"yes, the metal is steel",the object in this image is a stainless steel arm rest,aluminum wall cabinet pull,A metal wave shaped object,I think this is a piece of metal that has been bent to look like a wave.,This is a solid aluminum handrail clamp,        ,   Silver       ,        ,False,True,False,False,False,False,7,9,7,0.8031584,0.79389393,0.8097509,0.91585416,0.8680906
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B426EE0>,2032,submarine,47,90,50,3,a toy airplane shaped like a rocket on a white background,an orange plastic toy airplane on a white background,a toy toy rocket shaped in the shape of an airplane,"Yes, it is a rocket","Yes, I recognize this object.","Yes, it is a rocket that I used to take the photos.",an orange rocket shaped toy on a white background,an orange and blue toy airplane,A toy rocket,This is an orange plastic toy airplane with a blue propeller on top,It's an orange flying pig.,        ,        ,   Orange      Plastic   ,False,False,True,False,False,True,11,11,9,0.8201713,0.85425556,0.83277416,0.92323536,0.8860996
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B426310>,2033,cat toy cage,9,57,55,3,a small orange plastic basket with a green handle,an orange plastic basket with a green handle,a colorful orange crate with a metal frame,Yes,"No, I do not recognize this object","Yes, yes.",an orange plastic box with a green handle,A box with holes,A toy box,This is an orange and green plastic toy box,"A big, heavy book.",   Orange    Green      Plastic   ,   Orange       ,   Orange    Green      Plastic   ,True,True,True,True,False,True,9,8,8,0.894457,0.95785356,0.8852063,0.9510093,0.8857031
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B3CC490>,2034,worm ball with cut off hands or stars,72,39,45,26,a pile of colorful rubber bands on a white background,a pile of colorful rubber bands on a white background,an assortment of colorful plastic spools sitting on top of each other,"Yes, it is a rubber ball","Yes, I recognize this object.",yes,a pile of colorful rubber bands on a white background,"a stack of yellow, red and green spaghetti sticks",A pile of colorful rubber bands,I think it's a pile of rubber bands.,An entire collection of colorful rubber tubes that will make for a cute little display,       Rubber   ,       Plastic   ,       Rubber   ,False,False,False,True,True,True,10,12,10,0.8455486,0.85073984,0.8346515,0.925358,0.90492886
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B3CC700>,2035,giant pen with pen tip removed and cooper scourer pad on top,13,54,47,13,a blue and brown hair brush with a brown handle,a blue and brown ball on a white background,a blue and red plastic hair curler with brown beads,"Yes, it is a ball of yarn","No, I do not recognize this object","Yes, it's a toothbrush.",the object in this image is a blue and brown ball,a ball and chain,A blue and brown ball with a red handle,"It’s a hair dryer, but it’s not a hair dryer.","A dirty mop, and an empty one at that.",   Blue    Brown       ,   Red    Blue    Brown      Plastic   ,   Blue    Brown       ,True,True,True,False,True,False,10,10,9,0.8213068,0.844861,0.81954104,0.9090288,0.8402366
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1A752160>,2036,cup-and-ball toy,59,70,20,20,"a wooden toy with a red, yellow and green ball","a wooden toy hammer with a red, yellow, green and blue ball","a wooden toy drum on a white surface with a yellow, red, green, and black ball attached","Yes, it is a wooden toy hammer","Yes, I recognize this object.",Yes,"a wooden toy hammer with a red, yellow, green, and blue ball","wooden drum/toy, wooden balls, wooden mallet, wooden stick, wooden ball, wooden",A wooden toy hammer,"This is a wooden toy hammer with a red, yellow, green, and blue ball attached to it",A toy ball and a toy drum.,   Red    Yellow    Green      Wooden   ,   Red    Yellow    Green    Black    White      Wooden   ,   Red    Yellow    Green    Blue      Wooden   ,True,True,True,True,True,True,10,17,12,0.857109,0.8685409,0.8873014,0.95503837,0.8976739
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D198431C0>,2037,teething ring with a bit photoshopped out,34,24,37,3,a pink plastic bracelet with four balls on it,a pink plastic bracelet with four balls on it,a ring with pink beads and a white background,"Yes, I recognize this object.",Unknown,yes,it's a pink plastic ring with four balls on it,a cock ring,A pink plastic ring with four balls on it,It’s a pink rubber ring with a bunch of balls on it,A giant inflatable penis,   Pink      Plastic   ,   Pink       ,   Pink      Plastic   ,True,True,True,True,False,True,9,9,9,0.8501085,0.85172373,0.8381691,0.92928785,0.89469004
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B3CCBE0>,2038,heart shaped slinky,56,63,26,6,a colorful set of plastic rings with a heart shape,"an orange, yellow, green, and pink heart shaped toy","gum balls in candy apple orange, candy apple purple, candy apple yellow, candy apple green,","Yes, I recognize this object.","Yes, I recognize this object",Yes  (Object 3),an object in this image is called an object in this image is called an object in this image is,an object in the image,A giant rubber band,I think it's a bunch of rubber bands that have been twisted together to form a heart shape.,"My beautiful, rainbow colored heart",       Plastic   ,   Orange    Yellow    Green    Purple       ,   Orange    Yellow    Green    Pink       ,False,True,True,True,False,False,10,15,9,0.84468216,0.85874957,0.86113334,0.865531,0.8564375
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B3CCE50>,2039,led top,28,64,61,13,a green plastic toy with a cross on it,a green plastic cross shaped toy on a white background,a green plastic cross fidget toy on a white background,"Yes, it is a green plastic cross",Unknown,"No, I can't recognize this object.",a fidget spinner.,A cross-shaped green light switch,A green plastic cross shaped toy,It's a fidget spinner.,This is the little guy from our little game for the show,   Green      Plastic   ,   Green      Plastic   ,   Green      Plastic   ,True,True,True,True,True,True,9,10,10,0.7977313,0.78516924,0.78290623,0.94000703,0.8571892
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B3CC940>,2040,rubber toy found in toy aisle,31,64,63,16,a blue and yellow toy with a ball,a toy ball with blue and yellow hair,a dog ball is held up by a toy moustache,"Yes, it is a ball with a blue and yellow tangle","No, I do not recognize this object",blue and yellow fuzzy ball,a ball with a blue and yellow pom pom,"a rubber ball with the head and tail of a blue, yellow and white dog",A ball of blue and yellow rubber,This is a blue and yellow ball with a blue and yellow pom pom on top of it,A Blue and yellow toy cat toy,   Yellow    Blue       ,        ,   Yellow    Blue       ,True,False,True,False,False,False,8,10,8,0.8105447,0.80885977,0.8509235,0.894325,0.8826373
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B3CF400>,2041,massager,34,38,23,20,a wooden toy with four balls on it,a wooden toy with four balls on a white background,a toy cross with blue spheres sitting on top of four wooden pegs,"Yes, it is a wooden cross","Yes, I recognize this object.",Yes,a cross-shaped wooden toy with four wooden balls on each side,it's called a blue-green bumble bee,A wooden cross,This is a cross made out of wood and blue balls,A ball and wooden stem toy that is hanging off a clothesline.,       Wooden   ,   Blue      Wooden   ,       Wooden   ,False,True,False,True,True,True,8,13,10,0.79831225,0.8264941,0.7957881,0.92238516,0.88453764
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B3CF700>,2042,small personal fan without blades,38,67,81,3,a blue and yellow plastic spray bottle,a blue and yellow spray bottle on a white background,"a small, blue and yellow hand sanitizer","Yes, it is a blue and yellow plastic bottle","Yes, I recognize this object.",The answer is a yes,a water bottle with a blue cap and yellow handle,a hand-held squeegee or broom handle,A blue and yellow plastic spray bottle,This is a blue and yellow spray bottle with an orange cap,it's a plastic spigot that has been painted with gold and blue color.,   Yellow    Blue      Plastic   ,   Yellow    Blue       ,   Yellow    Blue       ,True,True,True,True,False,False,7,7,10,0.84942585,0.8410446,0.8430517,0.9172065,0.908251
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=150x150 at 0x26D1B3CFA00>,2043,clacker,66,76,65,6,a toy with two balls and a string,a plastic toy with two balls attached to it,a plastic toy with balls attached to it,"Yes, I recognize this object",Unknown,"Yes, this is a rubber ball",a rubber ball with a string attached to it,a water balloon,A toy that is made of plastic and has two balls attached to it,This is a rubber ball with a string attached to it,A baby toy with a toy ball attached,        ,       Plastic   ,       Plastic   ,False,False,False,False,True,True,8,8,9,0.7933112,0.78428286,0.7866016,0.95477176,0.90729123
