image_path,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,"BLIP-2, greedy, caption","BLIP-2, greedy, bool","BLIP-2, greedy, name","BLIP-2, greedy, real","BLIP-2, greedy, color and textures","BLIP-2, nucleus, caption","BLIP-2, nucleus, bool","BLIP-2, nucleus, name","BLIP-2, nucleus, real","BLIP-2, nucleus, color and textures","BLIP-2, beam, caption","BLIP-2, beam, bool","BLIP-2, beam, real","BLIP-2, beam, color and textures"
data/NOUN-2-600DPI/2011-600.jpg,2011,noisemaker,22,75,88,3,a green and orange plastic toy with two handles,"Yes, I recognize this object",a plastic toy with two orange and green balls attached to it,A toy that is made of plastic and has two orange and green plastic handles,"(['Orange', 'Green'], ['Plastic'])",a plastic toy with an orange and green handle,"Yes, yes",toy gun,My daughter wants to make a toy of this,"(['Orange', 'Green'], ['Plastic'])",a green and orange plastic toy with two handles,"Unknown",This is a plastic toy with two orange and one green handle,"(['Orange', 'Green'], ['Plastic'])"
data/NOUN-2-600DPI/2012-600.jpg,2012,coiled worm toy,41,50,59,41,a red plastic toy with orange tentacles,"Yes, I recognize this object.",a sea urchin,A red sea urchin,"(['Red', 'Orange'], ['Plastic'])",plastic red sea urchin on white background,No,"The creature is called an Echinoderm or Sea Urchin, or Sea Slug in the Hawaiian","This is my first attempt at a blog post and I'm not sure about everything, so please give","(['Red'], ['Plastic'])",a red and orange plastic sea urchin on a white background,"No, I do not recognize this object.",It's a red sea urchin.,"(['Red', 'Orange'], ['Plastic'])"
data/NOUN-2-600DPI/2013-600.jpg,2013,sling shot,6,20,87,6,a yellow and orange plastic toy with a foot,"Yes, it is a plastic bottle opener",the object in this image is an orange and yellow toy,A giant orange and yellow plastic foot,"(['Orange', 'Yellow'], ['Plastic'])",a orange and orange plastic foot stand,The only answer is yes or no. This means you should give your response in the affirmative,a plastic orange bird,"A leg for a toy car, which holds a bottle of soda.","(['Orange', 'Tan'], ['Plastic'])",an orange and yellow plastic stand with an orange top,"Unknown","This is an orange, yellow, and black plastic toy that is shaped like a tripod.","(['Orange', 'Yellow', 'Tan'], ['Plastic'])"
data/NOUN-2-600DPI/2014-600.jpg,2014,this light-up toy,38,75,39,0,a toy ball with a yellow and pink design,"Yes, it is a ball with a yellow handle",the object in this image is a pink ball with a yellow handle,A magic wand.,"(['Yellow', 'Pink'], [])",paintball shooting party ball,"Yes, I know this is a pop-up toy, and I also know that it is a",a magic wand,"a toy made of colorful plastic balls and a long rod,","([], [])",a pink and yellow ball with a yellow handle,"Yes, I recognize this object.",It's a magic wand.,"(['Yellow', 'Pink'], [])"
data/NOUN-2-600DPI/2015-600.jpg,2015,ball catcher,38,78,55,10,a blue plastic shoe holder with holes on the side,"Yes, I recognize this object.",the object in this image is a blue plastic shoe holder,A blue plastic shoe holder,"(['Blue'], ['Plastic'])",the bottom side of a blue plastic ice maker,Yes,"a blue, oval-shaped, hole-pocked, smooth plastic object",A large blue toy.A good night of sleep,"(['Blue'], ['Plastic'])",a blue plastic shoe holder on a white background,"No, I do not recognize this object",This is a blue plastic shoe holder with holes in it,"(['Blue'], ['Plastic'])"
data/NOUN-2-600DPI/2016 600dpi.jpg,2016,bird toy,28,21,61,6,a blue and white mop with a blue handle,"Yes, it is a mop",an orange cone with blue and white tassels,A dog toy,"(['Blue', 'White'], [])","hope pet hanger dog toy, toy size, 1/3 lb/100 kg",Yes I recognize this object,the object in this image is a dog cone,A dinglehopper from the 80's.,"([], [])",an orange and blue mop with blue and white tassels,"Unknown",It's a mop.,"(['Orange', 'Blue', 'White'], [])"
data/NOUN-2-600DPI/2017-600.jpg,2017,kenetic wheel,41,29,23,13,a metal and plastic device with a blue handle,"Yes, I recognize this object",the object in this image is a metal hook with a blue and orange ball attached to it,A toy mouse trap,"(['Blue'], ['Plastic'])",a plastic object that is connected to the device,No,a paper clip,A plastic spinner with a blue and orange handle.,"([], ['Plastic'])",a metal and plastic device with an orange ball attached to it,"Unknown",This is a cat toy.,"(['Orange'], ['Plastic'])"
data/NOUN-2-600DPI/2018-600.jpg,2018,this coils string,16,50,61,6,a yellow plastic container with a lid,"Yes, it is a yellow plastic container",the object in this image is a yellow plastic container,A yellow plastic container with a lid,"(['Yellow'], ['Plastic'])",yellow dish with yellow top sits on top of a white surface,No,yellow food container,An air conditioner.,"(['Yellow', 'White'], [])",a yellow plastic container with a lid on a white background,"Unknown",This is a yellow plastic container with a lid,"(['Yellow'], ['Plastic'])"
data/NOUN-2-600DPI/2019-600.jpg,2019,cat nip toy,31,67,38,25,a yellow and orange plastic egg with a white background,"Yes, it is a yellow egg with orange and white stripes",an orange and yellow egg with an orange and yellow hat on top of it,A candy corn egg,"(['Orange', 'Yellow'], ['Plastic'])","a yellow, orange and white plastic bird with an orange tuft of hair",I have no idea what this is,a cat toy,"It's an eyeball in a glass case, sir.Curious to know if you find","(['Orange', 'Yellow', 'White'], ['Plastic'])",a yellow and orange plastic egg with a white background,"No, I don't recognize this object.",This is an orange and yellow plastic egg with an orange and yellow hat on top of it,"(['Orange', 'Yellow'], ['Plastic'])"
data/NOUN-2-600DPI/2020.jpg,2020,jacobs ladder,41,36,29,6,a set of four colorful coasters with a ribbon,"Yes, it is a coaster",a coaster,A set of four colorful coasters,"([], [])","powwow square coasters, set of 6",Yes I recognize this object,a rectangular block,I'm sure it's the same thing as the other 8,"([], [])",a set of four wooden coasters in different colors,"Yes, I recognize this object","This is a set of four wooden coasters, each with a different color","([], ['Wooden'])"
data/NOUN-2-600DPI/2021-600.jpg,2021,foam arrow,9,29,84,3,a pink and green foam ball with four holes,"Yes, I recognize this object.","the object in this image is a pink, green and black flower",A bunch of pink and green balloons,"(['Green', 'Pink'], [])",corkscrews | hinged corkscrew with push bar & push plate & metal push rod,"All answers must be affirmative or negative, no gray",the object in this image is a set of four pink and green cones,It's a flower,"([], [])",a bunch of pink and green balloons on a white background,"Yes, I recognize this object.",It's a little bit of everything. It's a little bit of everything. It's a little,"(['Green', 'Pink'], [])"
data/NOUN-2-600DPI/2022-600.jpg,2022,marker,9,15,70,13,a green plastic cone with a small hole,"Yes, it is a green plastic cone",a green plastic water bottle with a hole in the top,A green plastic water bottle,"(['Green'], ['Plastic'])",a small green bottle with a cap on top,"If it's green, I would say yes",green water bottle stopper,It's a water spigot.,"(['Green'], [])",a green plastic object sitting on top of a white background,"Unknown",This is a green plastic water bottle with a hole in the top,"(['Green'], ['Plastic'])"
data/NOUN-2-600DPI/2023-600.jpg,2023,color changing ball,13,31,87,17,a black and white ball with a white and black design,"Yes, it is a black and white ball",a black and white ball,A black and white ball with a bunch of white and black objects,"(['Black', 'White'], [])",a white and black ball covered in plastic,Yes,a ball,This is a black and white spider,"(['Red', 'Black', 'White'], ['Plastic'])",a black and white sculpture of a ball on a white surface,"Yes, I recognize this object.",I think this is a black and white ball with a bunch of black and white balls inside of it,"(['Black', 'White'], [])"
data/NOUN-2-600DPI/2024-600.jpg,2024,connected disk toy,81,44,41,3,"a toy that is made of plastic and has a yellow, red and blue star",Yes,a sunflower.,"A toy that is made of plastic and has a yellow, red and blue star on it","(['Red', 'Yellow', 'Blue'], ['Plastic'])",tiger star multi-spike block set,Yes - toy,a globe,The sun!,"([], [])","a yellow, blue and red plastic toy with a star on it","Yes, I recognize this object.",I think it's a toy.,"(['Red', 'Yellow', 'Blue'], ['Plastic'])"
data/NOUN-2-600DPI/2025-600.jpg,2025,boomerang,6,14,58,13,a blue plastic foot rest with a white background,"Yes, it is a blue plastic foot rest",the object in this image is a blue shoe,A blue plastic footrest,"(['Blue'], ['Plastic'])",a blue shoe in the shape of a foot,Yes,a blue marble shoe holder,You'll get a better answer at http://www.answers.com/topic/sh,"(['Blue'], [])",an image of a blue shoe with a white background,"Unknown","I think it's a footrest for a chair, but I don't know what kind of chair","(['Blue'], [])"
data/NOUN-2-600DPI/2026-600.jpg,2026,dog toy,16,71,63,17,a green and red plastic toy on a white background,"Yes, it is a green and red plastic toy",the object in this image is a green and red dog toy,A dog toy,"(['Red', 'Green'], ['Plastic'])",giant xplore dog walking harness,Yes,a toilet seat,A green rubber dog bone shaped like a hockey puck,"([], [])",a green and red plastic dog toy on a white background,"Yes, I recognize this object.",This is a green and red plastic dog toy,"(['Red', 'Green'], ['Plastic'])"
data/NOUN-2-600DPI/2027-600.jpg,2027,room freshener toy,22,38,47,9,a white ball with a hole in the middle,"Yes, I recognize this object",a ball,A ball of plastic,"(['White'], [])",a white ball that is on a white surface,No. There is nothing there.,A plastic sphere with two small round holes for eyes,A hollow ball with a cover,"(['White'], [])",a white plastic ball on a white surface,"No, I do not recognize this object",This is a white plastic ball with a hole in the middle,"(['White'], ['Plastic'])"
data/NOUN-2-600DPI/2028-600.jpg,2028,cat toy found at the pound store,6,47,53,63,a pink donut with three pom poms on it,"Yes, it is a pink donut",a donut,A pink donut with a pink handle,"(['Pink'], [])",faux fur donut holder - pink - 8,I can not recognize this object.,you call it a flower wreath pink,This is a pink stuffed doughnut with a tail on it,"(['Pink'], [])",a pair of pink pom poms on a white background,"Yes, I recognize this object.",It's a donut holder.,"(['Pink'], [])"
data/NOUN-2-600DPI/2029-600.jpg,2029,cover for room fresheners,19,27,65,16,a black plastic device with a hole in the middle,"Yes, it is a black plastic button",the object in this image is a black plastic device,A black plastic button with a hole in the middle,"(['Black'], ['Plastic'])",a black plastic black speaker with an open black button,"[object], yes, I recognize","a bane, it's a special type of grenade designed to explode when you throw it",The future of gun control and ammunition,"(['Black'], ['Plastic'])",a close up of a black plastic device on a white background,"Unknown",I think it's a piece of black plastic with a hole in it,"(['Black'], ['Plastic'])"
data/NOUN-2-600DPI/2030-600.jpg,2030,marker,9,43,53,0,a blue and purple plastic toy with a face,"Yes, it is a blue and purple plastic toy",a water bottle with a blue lid and a purple handle,A cute little blue and purple plastic toy,"(['Blue', 'Purple'], ['Plastic'])",a small plastic figurine with a purple face and blue eyes,A blue and purple plastic figurine,A teddy bear,A dog food dispenser,"(['Blue', 'Purple'], ['Plastic'])",a blue and purple figurine on a white background,"Yes, I recognize this object",I think it's a cute little toy.,"(['Blue', 'Purple'], [])"
data/NOUN-2-600DPI/2031.jpg,2031,book end,16,32,35,26,a metal object with a curved shape,"Yes, I recognize this object.",the object in this image is a stainless steel arm rest,A metal wave shaped object,"([], [])",silver metal clip with wavy design on white background,"yes, the metal is steel",aluminum wall cabinet pull,This is a solid aluminum handrail clamp,"(['Silver'], [])",stainless steel bracket with a curved shape,"Unknown",I think this is a piece of metal that has been bent to look like a wave.,"([], [])"
data/NOUN-2-600DPI/2032-600.jpg,2032,submarine,47,90,50,3,a toy airplane shaped like a rocket on a white background,"Yes, it is a rocket",an orange rocket shaped toy on a white background,A toy rocket,"([], [])",a toy toy rocket shaped in the shape of an airplane,"Yes, it is a rocket that I used to take the photos.",an orange and blue toy airplane,It's an orange flying pig.,"([], [])",an orange plastic toy airplane on a white background,"Yes, I recognize this object.",This is an orange plastic toy airplane with a blue propeller on top,"(['Orange'], ['Plastic'])"
data/NOUN-2-600DPI/2033-600.jpg,2033,cat toy cage,9,57,55,3,a small orange plastic basket with a green handle,Yes,an orange plastic box with a green handle,A toy box,"(['Orange', 'Green'], ['Plastic'])",a colorful orange crate with a metal frame,"Yes, yes.",A box with holes,"A big, heavy book.","(['Orange'], [])",an orange plastic basket with a green handle,"No, I do not recognize this object",This is an orange and green plastic toy box,"(['Orange', 'Green'], ['Plastic'])"
data/NOUN-2-600DPI/2034-600.jpg,2034,worm ball with cut off hands or stars,72,39,45,26,a pile of colorful rubber bands on a white background,"Yes, it is a rubber ball",a pile of colorful rubber bands on a white background,A pile of colorful rubber bands,"([], ['Rubber'])",an assortment of colorful plastic spools sitting on top of each other,yes,"a stack of yellow, red and green spaghetti sticks",An entire collection of colorful rubber tubes that will make for a cute little display,"([], ['Plastic'])",a pile of colorful rubber bands on a white background,"Yes, I recognize this object.",I think it's a pile of rubber bands.,"([], ['Rubber'])"
data/NOUN-2-600DPI/2035-600.jpg,2035,giant pen with pen tip removed and cooper scourer pad on top,13,54,47,13,a blue and brown hair brush with a brown handle,"Yes, it is a ball of yarn",the object in this image is a blue and brown ball,A blue and brown ball with a red handle,"(['Blue', 'Brown'], [])",a blue and red plastic hair curler with brown beads,"Yes, it's a toothbrush.",a ball and chain,"A dirty mop, and an empty one at that.","(['Red', 'Blue', 'Brown'], ['Plastic'])",a blue and brown ball on a white background,"No, I do not recognize this object","It’s a hair dryer, but it’s not a hair dryer.","(['Blue', 'Brown'], [])"
data/NOUN-2-600DPI/2036-600.jpg,2036,cup-and-ball toy,59,70,20,20,"a wooden toy with a red, yellow and green ball","Yes, it is a wooden toy hammer","a wooden toy hammer with a red, yellow, green, and blue ball",A wooden toy hammer,"(['Red', 'Yellow', 'Green'], ['Wooden'])","a wooden toy drum on a white surface with a yellow, red, green, and black ball attached",Yes,"wooden drum/toy, wooden balls, wooden mallet, wooden stick, wooden ball, wooden",A toy ball and a toy drum.,"(['Red', 'Yellow', 'Green', 'Black', 'White'], ['Wooden'])","a wooden toy hammer with a red, yellow, green and blue ball","Yes, I recognize this object.","This is a wooden toy hammer with a red, yellow, green, and blue ball attached to it","(['Red', 'Yellow', 'Green', 'Blue'], ['Wooden'])"
data/NOUN-2-600DPI/2037-600.jpg,2037,teething ring with a bit photoshopped out,34,24,37,3,a pink plastic bracelet with four balls on it,"Yes, I recognize this object.",it's a pink plastic ring with four balls on it,A pink plastic ring with four balls on it,"(['Pink'], ['Plastic'])",a ring with pink beads and a white background,yes,a cock ring,A giant inflatable penis,"(['Pink'], [])",a pink plastic bracelet with four balls on it,"Unknown",It’s a pink rubber ring with a bunch of balls on it,"(['Pink'], ['Plastic'])"
data/NOUN-2-600DPI/2038-600.jpg,2038,heart shaped slinky,56,63,26,6,a colorful set of plastic rings with a heart shape,"Yes, I recognize this object.",an object in this image is called an object in this image is called an object in this image is,A giant rubber band,"([], ['Plastic'])","gum balls in candy apple orange, candy apple purple, candy apple yellow, candy apple green,",Yes  (Object 3),an object in the image,"My beautiful, rainbow colored heart","(['Orange', 'Yellow', 'Green', 'Purple'], [])","an orange, yellow, green, and pink heart shaped toy","Yes, I recognize this object",I think it's a bunch of rubber bands that have been twisted together to form a heart shape.,"(['Orange', 'Yellow', 'Green', 'Pink'], [])"
data/NOUN-2-600DPI/2039-600.jpg,2039,led top,28,64,61,13,a green plastic toy with a cross on it,"Yes, it is a green plastic cross",a fidget spinner.,A green plastic cross shaped toy,"(['Green'], ['Plastic'])",a green plastic cross fidget toy on a white background,"No, I can't recognize this object.",A cross-shaped green light switch,This is the little guy from our little game for the show,"(['Green'], ['Plastic'])",a green plastic cross shaped toy on a white background,"Unknown",It's a fidget spinner.,"(['Green'], ['Plastic'])"
data/NOUN-2-600DPI/2040-600.jpg,2040,rubber toy found in toy aisle,31,64,63,16,a blue and yellow toy with a ball,"Yes, it is a ball with a blue and yellow tangle",a ball with a blue and yellow pom pom,A ball of blue and yellow rubber,"(['Yellow', 'Blue'], [])",a dog ball is held up by a toy moustache,blue and yellow fuzzy ball,"a rubber ball with the head and tail of a blue, yellow and white dog",A Blue and yellow toy cat toy,"([], [])",a toy ball with blue and yellow hair,"No, I do not recognize this object",This is a blue and yellow ball with a blue and yellow pom pom on top of it,"(['Yellow', 'Blue'], [])"
data/NOUN-2-600DPI/2041-600.jpg,2041,massager,34,38,23,20,a wooden toy with four balls on it,"Yes, it is a wooden cross",a cross-shaped wooden toy with four wooden balls on each side,A wooden cross,"([], ['Wooden'])",a toy cross with blue spheres sitting on top of four wooden pegs,Yes,it's called a blue-green bumble bee,A ball and wooden stem toy that is hanging off a clothesline.,"(['Blue'], ['Wooden'])",a wooden toy with four balls on a white background,"Yes, I recognize this object.",This is a cross made out of wood and blue balls,"([], ['Wooden'])"
data/NOUN-2-600DPI/2042-600.jpg,2042,small personal fan without blades,38,67,81,3,a blue and yellow plastic spray bottle,"Yes, it is a blue and yellow plastic bottle",a water bottle with a blue cap and yellow handle,A blue and yellow plastic spray bottle,"(['Yellow', 'Blue'], ['Plastic'])","a small, blue and yellow hand sanitizer",The answer is a yes,a hand-held squeegee or broom handle,it's a plastic spigot that has been painted with gold and blue color.,"(['Yellow', 'Blue'], [])",a blue and yellow spray bottle on a white background,"Yes, I recognize this object.",This is a blue and yellow spray bottle with an orange cap,"(['Yellow', 'Blue'], [])"
data/NOUN-2-600DPI/2043.jpg,2043,clacker,66,76,65,6,a toy with two balls and a string,"Yes, I recognize this object",a rubber ball with a string attached to it,A toy that is made of plastic and has two balls attached to it,"([], [])",a plastic toy with balls attached to it,"Yes, this is a rubber ball",a water balloon,A baby toy with a toy ball attached,"([], ['Plastic'])",a plastic toy with two balls attached to it,"Unknown",This is a rubber ball with a string attached to it,"([], ['Plastic'])"
data/NOUN-2-600DPI/2044-600.jpg,2044,diving toy with small weight,6,27,94,6,a toy with a blue ball and orange toothbrush,"Yes, it is a toothbrush",an orange and blue toothbrush,A toothbrush,"(['Orange', 'Blue'], [])",a toy tube shaped like a toothbrush on a white background,This is an orange ball with a blue ring on it,"a spoon, a fork, a straw, and a glass",I think this is a hot dog bun that I found in a plastic bag,"([], [])",an orange and blue toothbrush with a ball on it,"No, I don't recognize this object",This is an orange and blue toothbrush with a ball on the end,"(['Orange', 'Blue'], [])"
data/NOUN-2-600DPI/2045-600.jpg,2045,wooden ball toy,25,29,3,55,a wooden spoon with five holes on it,"Yes, I recognize this object.",the object in this image is a wooden toothbrush holder,A wooden spoon holder,"([], ['Wooden'])",a wooden spoon with five holes and a handle,A wooden spoon that has holes drilled in it,a wine opener,"A little bit of this, a little bit of that","([], ['Wooden'])",a wooden toothbrush holder with five holes in it,"No, I do not recognize this object",It's a wooden toothbrush holder.,"([], ['Wooden'])"
data/NOUN-2-600DPI/2046-600.jpg,2046,keychain with bubbles inside,34,67,42,3,a small clear plastic keychain with a small blue and green design,"Yes, it is a keychain with a small square of clear plastic",a keychain,A keychain with a clear plastic rectangle,"(['Green', 'Blue'], ['Plastic'])",the keychain has the small shape of a blue and white box,This is the shape of an acrylic glass key chain,a transparent keyring,The crystal water bottle,"(['Blue', 'White'], [])","a clear plastic keychain with a blue, green and white design","Yes, I recognize this object.","This is a keychain with a clear plastic rectangle with a blue, green and white design on it","(['Green', 'Blue', 'White'], ['Plastic'])"
data/NOUN-2-600DPI/2047-600.jpg,2047,perfume sprayer,41,32,50,3,a black and silver metal bottle with a white background,"Yes, I recognize this object.",the object in this image is a black and white cigarette lighter,A black and silver metal cylinder with a white stripe,"(['Black', 'Silver'], [])",a bottle with a black striped lid,Yes,A can of spray paint,"That I'm a big fat slob with no sense of style?He's good, and","(['Black'], [])",a black and silver cigarette lighter on a white background,"Unknown",It's an electronic cigarette.,"(['Black', 'Silver'], [])"
data/NOUN-2-600DPI/2048-600.jpg,2048,worm ball with hands and stars cut off,13,47,55,6,a pile of colorful plastic balls on a white background,"Yes, it is a ball",a pile of colorful plastic balls on a white background,A pile of colorful plastic balls,"([], ['Plastic'])",an assortment of brightly colored balls and toys are arranged,No,an inflatable ball,"An oversized, squishy bouncy ball made of latex","(['Red'], [])",a pile of colorful plastic balls on a white background,"No, I don't recognize this object",This is a pile of colorful plastic balls,"([], ['Plastic'])"
data/NOUN-2-600DPI/2049-600.jpg,2049,slide whistle,19,44,39,10,a blue pen with a metal hook on the end,"Yes, I recognize this object",the object in this image is a pen with a blue handle,A pen.,"(['Blue'], [])",a metal tube with blue and white plastic tube attached to it,Answer in 1 minute,"blue penLol. ""It is just for this weekend""",An electronic device.  It is a telephone.  It has a telephone number.  It has,"(['Blue', 'White'], ['Plastic'])",a blue pen on a white background,"Unknown","I think it's a pencil sharpener, but I don't know what kind of pencil it is","(['Blue'], [])"
data/NOUN-2-600DPI/2050-600.jpg,2050,mobile phone stand for a car,31,68,45,0,a black plastic car mount with a handle,"Yes, I recognize this object.",the object in this image is a car phone holder,A car phone holder,"(['Black'], ['Plastic'])",dash mountable black dashmount,Yes it is the car dashboard mount adapter,a gopro camera mount,"A black plastic, plastic base holder for your car GPS","(['Black'], [])",a black plastic car mount on a white background,"Unknown",This is a car phone holder.,"(['Black'], ['Plastic'])"
data/NOUN-2-600DPI/2051-600.jpg,2051,finger castanet,53,60,47,9,a green toilet seat with a pink bow on it,"Yes, it is a green toilet seat",a toilet seat,A toilet seat,"(['Green', 'Pink'], [])",green plastic toilet seat,Yes I do,the small green bathroom seat,A portable toilet,"(['Green'], ['Plastic'])",a green toilet seat with a pink bow on it,"No, I don't recognize this object.",This is a green toilet seat with a pink bow on it,"(['Green', 'Pink'], [])"
data/NOUN-2-600DPI/2052-600.jpg,2052,noisemaker,41,53,63,7,a green plastic flower shaped tool with a pink handle,"Yes, I recognize this object.",a green plastic spoon with a pink handle,A flower picker,"(['Green', 'Pink'], ['Plastic'])",a green and pink plastic spatula in a cup,"Yes, I recognise this object",A plucking tool for a red and green plastic gardening tool,a water pistol.,"(['Green', 'Pink'], ['Plastic'])",a green plastic spoon with a pink handle,"Unknown",It's a flower picker.,"(['Green', 'Pink'], ['Plastic'])"
data/NOUN-2-600DPI/2053-600.jpg,2053,hand castanet,44,79,45,6,a red and black metal pole with two black handles,"Yes, I recognize this object.",the object in this image is a pair of scissors,A red and black metal pole with two black clippers,"(['Red', 'Black'], [])",a pair of black hair straighteners that are red,red and black coat hanger for a black jacket,a clove,A big red plastic coat hanger,"(['Red', 'Black'], [])",a pair of black and red clippers on a white background,"Unknown",I think it's a pair of scissors.,"(['Red', 'Black'], [])"
data/NOUN-2-600DPI/2054-600.jpg,2054,floating ball game,3,25,38,48,a wooden stick with a red handle on a white background,"Yes, it is a wooden stick",a wooden stick with a red handle on a white background,A wooden stick with a red handle,"(['Red'], ['Wooden'])",bamboo wooden baseball bat,This is a barbell or weight,,This is a stick on the wall for your kids to climb,"([], ['Wooden'])",a wooden stick with a red handle on a white background,"No, I do not recognize this object.",This is a wooden stick with a red handle,"(['Red'], ['Wooden'])"
data/NOUN-2-600DPI/2055-600.jpg,2055,aroma therapy oil burner,13,33,53,13,a green vase with holes in it,Yes,a vase,A vase,"(['Green'], [])",a large yellow vase with holes in it,Yes,,An interesting little table that I'm not quite sure what it is or what purpose it serves.,"(['Yellow'], [])",a green vase with holes in it,"No, I do not recognize this object",This is a vase with holes in it.,"(['Green'], [])"
