image_path,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,"BLIP-2, OPT-2.7b caption, nucleus sampling"
data/NOUN-2-600DPI/2044-600.jpg,2044,diving toy with small weight,6,27,94,6,the bite-a-stick has teeth in the
data/NOUN-2-600DPI/2045-600.jpg,2045,wooden ball toy,25,29,3,55,a long wooden stick with four holes on it
data/NOUN-2-600DPI/2046-600.jpg,2046,keychain with bubbles inside,34,67,42,3,a transparent square keychain with a green and blue
data/NOUN-2-600DPI/2047-600.jpg,2047,perfume sprayer,41,32,50,3,the bottle with a black and white stripe is sitting
data/NOUN-2-600DPI/2048-600.jpg,2048,worm ball with hands and stars cut off,13,47,55,6,a pile of balls on a white surface
data/NOUN-2-600DPI/2049-600.jpg,2049,slide whistle,19,44,39,10,a blue pencil holder with a wire handle
data/NOUN-2-600DPI/2050-600.jpg,2050,mobile phone stand for a car,31,68,45,0,a black plastic dome for a car dashboard
data/NOUN-2-600DPI/2051-600.jpg,2051,finger castanet,53,60,47,9,green wooden toilet seat
data/NOUN-2-600DPI/2052-600.jpg,2052,noisemaker,41,53,63,7,floral petal maker by kodal
data/NOUN-2-600DPI/2053-600.jpg,2053,hand castanet,44,79,45,6,a red umbrella holder with black handles on a white
data/NOUN-2-600DPI/2054-600.jpg,2054,floating ball game,3,25,38,48,"pork scratchings, small, red"
data/NOUN-2-600DPI/2055-600.jpg,2055,aroma therapy oil burner,13,33,53,13,"colorful, brightly colored vase on white background"
data/NOUN-2-600DPI/2056-600.jpg,2056,dog toy,19,59,61,13,rainbow dog treat holder
data/NOUN-2-600DPI/2057-600.jpg,2057,spout for watering can,34,32,35,3,a red plastic fan sitting on a black base
data/NOUN-2-600DPI/2058-600.jpg,2058,hole for children golf game,22,33,58,3,the pink circular plastic ring is on top of a
data/NOUN-2-600DPI/2059-600.jpg,2059,maraca pen,75,92,28,0,"sling vibrator for women with a purple,"
data/NOUN-2-600DPI/2060-600.jpg,2060,dog toy with removed rope,38,32,55,29,a red dog treat wrapped in plastic
data/NOUN-2-600DPI/2061-600.jpg,2061,dog toy,53,53,59,13,a small green rubber toy with colorful polka dots
data/NOUN-2-600DPI/2062-600.jpg,2062,dog toy,44,56,29,42,the shape of the spiral is orange and has a
data/NOUN-2-600DPI/2063-600.jpg,2063,magic loops,25,38,13,19,a metal sculpture of an abstracted globe and a
data/NOUN-2-600DPI/2064-600.jpg,2064,massager,28,33,45,3,the small electronic foot massager is designed to look
