Unnamed: 0.1,Unnamed: 0,vg_image_id,vg_object_id,link_mn,link_vg,vg_obj_name,"BLIP-2, greedy decode","BLIP-2, nucleus sampling decode","BLIP-2, beam search decode"
24,9820,2356076,823792,http://object-naming-amore.upf.edu//2356076_823792_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2356076.jpg,bowl,A plate of food,"steak, potato, and Broccoli.",Steak and Broccoli
25,7605,2347496,890271,http://object-naming-amore.upf.edu//2347496_890271_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2347496.jpg,couch,A couch,Woman,A woman sitting on a couch in a living room
26,18098,2387280,1277479,http://object-naming-amore.upf.edu//2387280_1277479_supercat_unique.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2387280.jpg,bed,the red box with the first name that comes to mind,"An apple, a kite",The red box with the first name that comes to mind
27,22368,2406452,1101992,http://object-naming-amore.upf.edu//2406452_1101992_supercat_unique.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2406452.jpg,bed,A man in a black shirt,The man in the red box,The person in the red box with the first name that comes to mind
28,1369,2316493,3218293,http://object-naming-amore.upf.edu//2316493_3218293_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2316493.jpg,bowl,A bowl of noodles,This is the bowl of a chicken noodle soup and some veggies.,This is a bowl of ramen
29,24439,2414152,158902,http://object-naming-amore.upf.edu//2414152_158902_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2414152.jpg,cup,a cup of coffee,this is a coffee cup ~~~,a cup of coffee
30,6261,2342112,2015786,http://object-naming-amore.upf.edu//2342112_2015786_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2342112.jpg,bench,a bench,person,a bench
31,3983,2330002,973743,http://object-naming-amore.upf.edu//2330002_973743_supercat_unique.png,https://cs.stanford.edu/people/rak248/VG_100K/2330002.jpg,desk,The cat,The small cat is on the desk and in the box on the desk with the cat on the keyboard,A cat sitting on a keyboard
32,16323,2379519,1356839,http://object-naming-amore.upf.edu//2379519_1356839_supercat_unique.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2379519.jpg,bench,dog,"that dog in the yard, standing by the fence",dog
33,12564,2365822,631734,http://object-naming-amore.upf.edu//2365822_631734_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2365822.jpg,bowl,Cereal,cereal,Cereal
34,18871,2391007,492260,http://object-naming-amore.upf.edu//2391007_492260_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2391007.jpg,carpet,The cat,A black cat,The object in the red box with the first name that comes to mind is a cat
35,309,2009,1546111,http://object-naming-amore.upf.edu//2009_1546111_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2009.jpg,bed,bed,the bed,The bed
36,15822,2377628,2474741,http://object-naming-amore.upf.edu//2377628_2474741_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2377628.jpg,vase,vase with flowers,the flower vase,a vase with flowers in it
37,1125,1593231,1616597,http://object-naming-amore.upf.edu//1593231_1616597_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/1593231.jpg,table,a box of donuts,"a table filled with doughnuts, orange juice, and orange juice",donuts
38,15013,2374718,3130772,http://object-naming-amore.upf.edu//2374718_3130772_supercat_unique.png,https://cs.stanford.edu/people/rak248/VG_100K/2374718.jpg,sofa,The man is holding a donut,a person eating donuts,
39,2092,2319404,3147303,http://object-naming-amore.upf.edu//2319404_3147303_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2319404.jpg,counter,The oven,The stove,The oven
40,19620,2394402,1212164,http://object-naming-amore.upf.edu//2394402_1212164_supercat_unique.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2394402.jpg,chair,The man is wearing a tie,An open box with a tie in it,A man sitting in a chair with a tie around his neck and a woman sitting next to him
41,20419,2398175,427747,http://object-naming-amore.upf.edu//2398175_427747_seed_ambiguous.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2398175.jpg,curtain,The bed,the drape with the word oaken,"The bed in the picture is a bed with a headboard, a footboard, and a canopy"
42,18611,2389844,502093,http://object-naming-amore.upf.edu//2389844_502093_supercat_unique.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2389844.jpg,bench,person,Woman sitting on park bench in white top,"person, person, person, person, person, person, person, person, person, person,"
43,7703,2347834,887060,http://object-naming-amore.upf.edu//2347834_887060_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2347834.jpg,rug,The toilet,toilet,Toilet
44,14865,2374146,728561,http://object-naming-amore.upf.edu//2374146_728561_seed_ambiguous.png,https://cs.stanford.edu/people/rak248/VG_100K/2374146.jpg,furniture,red sofa,couch,The red couch in the corner of the living room
45,17574,2384975,1302583,http://object-naming-amore.upf.edu//2384975_1302583_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2384975.jpg,dresser,The dresser,The ikea dresser,
46,21044,2401061,402750,http://object-naming-amore.upf.edu//2401061_402750_supercat_unique.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2401061.jpg,table,A bottle of wine,a bunch of bottles of wine,A bottle of wine
47,16863,2381771,702000,http://object-naming-amore.upf.edu//2381771_702000_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2381771.jpg,bathtub,Toilet,bathtub and toilet,Toilet
48,5927,2340564,946898,http://object-naming-amore.upf.edu//2340564_946898_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2340564.jpg,bed,The bed,The single bed,The bed
49,22474,2406922,288192,http://object-naming-amore.upf.edu//2406922_288192_supercat_ambiguous.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2406922.jpg,bowl,almonds,almonds,Almonds
50,14269,2372036,1686356,http://object-naming-amore.upf.edu//2372036_1686356_supercat_unique.png,https://cs.stanford.edu/people/rak248/VG_100K/2372036.jpg,carpet,a tie,"bluebird of loveHate to break it to you, but that's a ""mog",a boy in a suit and tie standing in front of a mirror
51,3363,2326760,981630,http://object-naming-amore.upf.edu//2326760_981630_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2326760.jpg,bed,A bed,a hotel bed,A bed with a white comforter
52,9575,2355030,2022075,http://object-naming-amore.upf.edu//2355030_2022075_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2355030.jpg,bench,A bench with two flamingos,Two pink flamingos,Two pink flamingos sitting on a bench next to a watering can
53,15715,2377259,3838620,http://object-naming-amore.upf.edu//2377259_3838620_seed_ambiguous.png,https://cs.stanford.edu/people/rak248/VG_100K/2377259.jpg,desk,A cake,Person preparing food in the kitchen,
54,23037,2408962,251674,http://object-naming-amore.upf.edu//2408962_251674_supercat_unique.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2408962.jpg,bench,A dog,the large black and white dog,A woman sitting on a park bench with a large dog
55,19859,2395602,1204363,http://object-naming-amore.upf.edu//2395602_1204363_supercat_unique.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2395602.jpg,couch,The person in the red box with the first name that comes to mind is sitting on a couch,guy in jeans sitting on a couch,
56,6330,2342372,2120077,http://object-naming-amore.upf.edu//2342372_2120077_supercat_unique.png,https://cs.stanford.edu/people/rak248/VG_100K/2342372.jpg,bed,A man sitting on a couch with a dog and a cat,An orange cat,A man sitting on a couch playing a video game with a cat and a dog sitting next to him
57,17686,2385472,1296434,http://object-naming-amore.upf.edu//2385472_1296434_supercat_ambiguous.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2385472.jpg,vase,A vase of sunflowers,"Sunflowers, a vase, some paper",A vase of sunflowers
58,18937,2391276,1242084,http://object-naming-amore.upf.edu//2391276_1242084_supercat_unique.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2391276.jpg,table,A pizza,"I am putting together a family history for my nephew, and he is wondering what item he has in",A man eating a pizza with a fork and knife
59,12202,2364522,2524726,http://object-naming-amore.upf.edu//2364522_2524726_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2364522.jpg,bed,a mattress,bed,the mattress on the floor next to the bed
60,15737,2377344,2493127,http://object-naming-amore.upf.edu//2377344_2493127_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2377344.jpg,curtain,bed,a pair of double bed,The bed in the photo is the bed in the red box with the first name that comes to mind
61,20472,2398400,425745,http://object-naming-amore.upf.edu//2398400_425745_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2398400.jpg,bed,a man in a hospital bed,the young man lying in the bed,a person lying in a hospital bed
62,1062,1592649,3710715,http://object-naming-amore.upf.edu//1592649_3710715_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/1592649.jpg,counter,A bottle of wine,a wooden cutting board on a white counter,a bottle of wine
63,1946,2318770,1007298,http://object-naming-amore.upf.edu//2318770_1007298_supercat_unique.png,https://cs.stanford.edu/people/rak248/VG_100K/2318770.jpg,bowl,Avocado dip,Avocado,Avocado dip
64,23191,2409478,240953,http://object-naming-amore.upf.edu//2409478_240953_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2409478.jpg,lamp,The clock tower at the Union Station,"Union Station, Grand Avenue and Grand Street (Union Station in red, Grand Avenue in blue, Grand",This is a clock tower with a clock on top of it
65,4815,2334677,2388346,http://object-naming-amore.upf.edu//2334677_2388346_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2334677.jpg,bench,person,man sitting on a park bench,a man sitting on a bench in front of a body of water
66,23199,2409513,240243,http://object-naming-amore.upf.edu//2409513_240243_supercat_unique.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2409513.jpg,bench,The man sitting on the bench,It's my pants.,A man sitting on a bench
67,3611,2328036,2922694,http://object-naming-amore.upf.edu//2328036_2922694_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2328036.jpg,table,coffee pot,the coffee pot and the cups,a coffee pot and two cups of coffee
68,20828,2400093,1163039,http://object-naming-amore.upf.edu//2400093_1163039_supercat_unique.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2400093.jpg,spoon,A large metal pan with a wooden spoon in it,,The red box with the first name that comes to mind is a wooden spoon
69,255,1526,1067480,http://object-naming-amore.upf.edu//1526_1067480_seed_ambiguous.png,https://cs.stanford.edu/people/rak248/VG_100K_2/1526.jpg,chair,chair,chair,Computer desk with two monitors and keyboard and mouse
70,12837,2366710,753736,http://object-naming-amore.upf.edu//2366710_753736_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2366710.jpg,bed,A stuffed animal,teddy bear,a teddy bear
71,5680,2339244,3697054,http://object-naming-amore.upf.edu//2339244_3697054_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2339244.jpg,sofa,The red box is a coffee table,A vintage chair,The red box with the first name that comes to mind is the coffee table in the living room.
72,5914,2340494,2340318,http://object-naming-amore.upf.edu//2340494_2340318_supercat_unique.png,https://cs.stanford.edu/people/rak248/VG_100K/2340494.jpg,carpet,dog,red dog lying on rug,The dog is lying on the rug in the red box with the first name that comes to mind
73,74,390,3563772,http://object-naming-amore.upf.edu//390_3563772_supercat_unique.png,https://cs.stanford.edu/people/rak248/VG_100K_2/390.jpg,desk,computer,mouse,a computer
74,5540,2338451,3701619,http://object-naming-amore.upf.edu//2338451_3701619_seed_ambiguous.png,https://cs.stanford.edu/people/rak248/VG_100K/2338451.jpg,cot,The bed,A cot with blue curtains,The bed in the room with the window in the top right hand corner of the room
75,9496,2354763,2125249,http://object-naming-amore.upf.edu//2354763_2125249_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2354763.jpg,bench,a bench,The little boy sitting on a bench,a child sitting on a bench
76,1098,1593011,2063521,http://object-naming-amore.upf.edu//1593011_2063521_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/1593011.jpg,bench,A bench,An old green bench,The bench in the picture is a green bench and the chair is a red chair
77,9824,2356087,823675,http://object-naming-amore.upf.edu//2356087_823675_supercat_unique.png,https://cs.stanford.edu/people/rak248/VG_100K/2356087.jpg,table,A red wine glass,the red plate in the lower left hand corner,A bottle of wine and a plate of pasta
78,23649,2411139,316331,http://object-naming-amore.upf.edu//2411139_316331_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2411139.jpg,bench,The person sitting on the bench,leg on a chair,The person sitting on the bench in the red box with the first name that comes to mind
79,591,150264,1037932,http://object-naming-amore.upf.edu//150264_1037932_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/150264.jpg,bench,bench,[red box] [red box] [red box] [red box] [red box],The bench in the photo is the bench in the red box with the first name that comes to mind
80,2636,2322546,2849056,http://object-naming-amore.upf.edu//2322546_2849056_supercat_unique.png,https://cs.stanford.edu/people/rak248/VG_100K/2322546.jpg,chair,A man sitting on a bus,"the person sitting on a seat, with his face down looking at his cell phone, then looking up",A man sitting on a bus with a cell phone in his left hand and a book in his right
81,18319,2388371,509050,http://object-naming-amore.upf.edu//2388371_509050_supercat_unique.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2388371.jpg,bench,a woman sitting on a bench,woman,a woman sitting on a bench
82,4190,2331156,3443182,http://object-naming-amore.upf.edu//2331156_3443182_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2331156.jpg,bed,A woman sitting in a bed,Woman looking at a tablet in a hotel room,A woman sitting on a bed in a hotel room
83,21020,2400929,1153523,http://object-naming-amore.upf.edu//2400929_1153523_supercat_unique.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2400929.jpg,table,a pen,Pencil,a typewriter
84,14975,2374598,725845,http://object-naming-amore.upf.edu//2374598_725845_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2374598.jpg,bench,The bench in the park,A bench that looks like a bench,A bench in a park
85,20164,2397037,438032,http://object-naming-amore.upf.edu//2397037_438032_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2397037.jpg,carpet,The television,small bed,The television in the corner of the room
86,19091,2391936,484742,http://object-naming-amore.upf.edu//2391936_484742_seed_ambiguous.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2391936.jpg,curtain,the bed,the patient in bed,The patient in the bed
87,17860,2386091,683886,http://object-naming-amore.upf.edu//2386091_683886_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2386091.jpg,table,The vase with the flowers,a vase with flowers,vase with flowers
88,5980,2340926,945303,http://object-naming-amore.upf.edu//2340926_945303_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2340926.jpg,sofa,A couch,Small girl in red pants standing in front of the couch,A couch
89,7037,2345175,2586084,http://object-naming-amore.upf.edu//2345175_2586084_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2345175.jpg,desk,the mouse,mouse,a laptop computer with a mouse and keyboard on the desk in front of it
90,15327,2375828,1864651,http://object-naming-amore.upf.edu//2375828_1864651_supercat_unique.png,https://cs.stanford.edu/people/rak248/VG_100K/2375828.jpg,spoon,ramen,ramen noodles,ramen
91,20159,2397020,438131,http://object-naming-amore.upf.edu//2397020_438131_seed_ambiguous.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2397020.jpg,couch,A young girl sitting at a table with a laptop,The small girl on the left of the screen,A young girl sitting at a table with a laptop and a drink in front of her
92,4546,2333279,3472159,http://object-naming-amore.upf.edu//2333279_3472159_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2333279.jpg,bed,The headboard of a bed,A frame for a bed,"bed frame, headboard, headboard, headboard, headboard, headboard, headboard"
93,13265,2368277,618739,http://object-naming-amore.upf.edu//2368277_618739_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2368277.jpg,desk,computer,"computer, monitor, office chair",my computer
94,13140,2367839,620202,http://object-naming-amore.upf.edu//2367839_620202_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2367839.jpg,bed,The cat,Three cats sleeping on a bed,Two cats sleeping on a bed
95,8707,2351793,3273898,http://object-naming-amore.upf.edu//2351793_3273898_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2351793.jpg,bowl,A bowl of rice and vegetables,a bowl of chinese food,"A bowl of rice, chopsticks, and a cup of tea"
96,12718,2366336,629048,http://object-naming-amore.upf.edu//2366336_629048_seed_ambiguous.png,https://cs.stanford.edu/people/rak248/VG_100K/2366336.jpg,rug,The bed,The bed  Q: What room does the bed occupy?,The bed frame in the corner of the room
97,23921,2412240,199550,http://object-naming-amore.upf.edu//2412240_199550_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2412240.jpg,counter,Kitchen countertop,A stainless steel fridge and black and stainless steel countertops,Refrigerator
98,19367,2393205,474082,http://object-naming-amore.upf.edu//2393205_474082_supercat_unique.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2393205.jpg,spoon,red cabbage,cabbage,red cabbage
99,770,713198,1868297,http://object-naming-amore.upf.edu//713198_1868297_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/713198.jpg,bed,The bed,The bed frame,The red box with the first name that comes to mind
100,19504,2393852,1216178,http://object-naming-amore.upf.edu//2393852_1216178_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2393852.jpg,airplane,The red box with the first name that comes to mind is a red and white airplane,Red airplane on a slope,a red and white airplane flying over a snow covered tundra with trees in the background
101,17959,2386522,1285225,http://object-naming-amore.upf.edu//2386522_1285225_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2386522.jpg,airplane,A passenger jet,A Boeing 747,Qantas Airbus A330-200
102,4808,2334648,2780177,http://object-naming-amore.upf.edu//2334648_2780177_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2334648.jpg,truck,brits armored vehicle,the brinks truck,brinks truck
103,6099,2341457,942634,http://object-naming-amore.upf.edu//2341457_942634_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2341457.jpg,motorcycle,motorcycle,The bike in the red frame is,The motorcycle in the red box with the first name that comes to mind
104,8678,2351647,859241,http://object-naming-amore.upf.edu//2351647_859241_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2351647.jpg,train,The train,Dutch train company,Train
105,2420,2321157,3131687,http://object-naming-amore.upf.edu//2321157_3131687_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2321157.jpg,airplane,A small airplane,small propeller aircraft,United Airlines Boeing 757-200
106,14522,2372928,734811,http://object-naming-amore.upf.edu//2372928_734811_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2372928.jpg,jet,F-18 Super Hornet,an u.s. fighter jet,F/A-18E/F Super Hornet
107,242,1470,1641508,http://object-naming-amore.upf.edu//1470_1641508_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K_2/1470.jpg,car,porsche boxster,My silver convertible,a porsche boxster
108,2188,2319795,998691,http://object-naming-amore.upf.edu//2319795_998691_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2319795.jpg,car,a cat,the photo of my cat on top of the car that I have seen in many pictures,a blue car with a cat on it
109,1282,2316097,3348278,http://object-naming-amore.upf.edu//2316097_3348278_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2316097.jpg,boat,The blue and white fishing boat,this photo is of boats in a harbor with the boat at the water,"Maltese fishing boats docked at the quay in Valletta, Malta"
110,18613,2389865,1256443,http://object-naming-amore.upf.edu//2389865_1256443_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2389865.jpg,truck,truck,The old rusty box on the road,The truck in the picture is an old truck that has been sitting in the field for a long time
111,3548,2327751,3474085,http://object-naming-amore.upf.edu//2327751_3474085_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2327751.jpg,plane,A passenger jet,"A plane, it has no wings.",Airplane
112,13439,2368982,614585,http://object-naming-amore.upf.edu//2368982_614585_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2368982.jpg,train,Train,a large passenger train,A train at a train station
113,12290,2364822,2009167,http://object-naming-amore.upf.edu//2364822_2009167_seed_ambiguous.png,https://cs.stanford.edu/people/rak248/VG_100K/2364822.jpg,train,train,a train,The blue and purple train on the left side of the image
114,13551,2369398,2464529,http://object-naming-amore.upf.edu//2369398_2464529_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2369398.jpg,train,train,"The yellow freight wagons on the trackside and on the river bank, the train is stopped and",train
115,5440,2337913,2296792,http://object-naming-amore.upf.edu//2337913_2296792_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2337913.jpg,train,train,the red train engine,train
116,17202,2383306,1321931,http://object-naming-amore.upf.edu//2383306_1321931_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2383306.jpg,plane,airplane,jet,A jetliner on the runway at dallas/fort worth international airport
117,155,993,1065937,http://object-naming-amore.upf.edu//993_1065937_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K_2/993.jpg,plane,airplane,an airplane,an american airlines boeing 757-200
118,4577,2333466,2716411,http://object-naming-amore.upf.edu//2333466_2716411_supercat_unique.png,https://cs.stanford.edu/people/rak248/VG_100K/2333466.jpg,car,The cat,The car,A cat
119,13233,2368153,747812,http://object-naming-amore.upf.edu//2368153_747812_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2368153.jpg,car,train,The train,a train on the tracks
120,20529,2398591,423901,http://object-naming-amore.upf.edu//2398591_423901_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2398591.jpg,plane,The plane,____ ____,A green and yellow airplane with a yellow stripe on the tail and a green and yellow stripe on the
121,22932,2408616,258124,http://object-naming-amore.upf.edu//2408616_258124_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2408616.jpg,car,dog,the doberman in the reflection,the dog in the rear view mirror
122,9861,2356231,1825783,http://object-naming-amore.upf.edu//2356231_1825783_seed_ambiguous.png,https://cs.stanford.edu/people/rak248/VG_100K/2356231.jpg,airplane,c-130,c-130 or ae-6,c-130 transport aircraft
