Unnamed: 0.1,Unnamed: 0,vg_image_id,vg_object_id,link_mn,link_vg,vg_obj_name,vg_domain,vg_synset,vg_same_object,vg_adequacy_mean,vg_inadequacy_type,vg_image_name,vg_cat,bbox_xywh,clusters,topname,responses,incorrect,singletons,adequacy_mean,inadequacy_type,total_responses,perc_top,H,N,domain,split,same_object,correct_responses,n_incorrect,valid_responses,"BLIP-2, greedy decode","BLIP-2, nucleus sampling decode","BLIP-2, beam search decode"
10,6052,2341246,3656372,http://object-naming-amore.upf.edu//2341246_3656372_seed_ambiguous.png,https://cs.stanford.edu/people/rak248/VG_100K/2341246.jpg,bedframe,home,furnishing.n.02,{'bed': 1.0},1.0,{'None': 1.0},2341246.jpg,"instrumentality, instrumentation","[13, 178, 384, 155]",[{34: ['bed']}],bed,{'bed': 34},{},"{'bed sheet': 1, 'pillow': 1}",{'bed': 1.0},{'bed': {'None': 1.0}},34,1.0,0.0,1,home,,{'bed': {'bed': 1.0}},34,0,['bed'],bed,The bed frame,Bedroom
11,1336,2316339,1054469,http://object-naming-amore.upf.edu//2316339_1054469_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2316339.jpg,sofa,home,furnishing.n.02,"{'armchair': 1.0, 'chair': 1.0}",0.83,"{'visual': 0.3, 'None': 0.7}",2316339.jpg,"instrumentality, instrumentation","[85, 198, 303, 134]","[{32: ['chair', 'sofa', 'armchair']}]",chair,"{'chair': 21, 'sofa': 8, 'armchair': 3, 'seat': 1}",{},"{'ties': 1, 'sofa chair': 1, 'couch': 1}","{'chair': 1.0, 'sofa': 0.83, 'armchair': 1.0, 'seat': 'NA'}","{'chair': {'None': 1.0}, 'sofa': {'visual': 0.3, 'None': 0.7}, 'armchair': {'None': 1.0}, 'seat': 'NA'}",33,0.6363636363636364,1.3779228047973189,4,home,train,"{'chair': {'chair': 1.0, 'sofa': 1.0, 'armchair': 1.0, 'seat': 'NA'}, 'sofa': {'chair': 1.0, 'sofa': 1.0, 'armchair': 1.0, 'seat': 'NA'}, 'armchair': {'chair': 1.0, 'sofa': 1.0, 'armchair': 1.0, 'seat': 'NA'}, 'seat': {'chair': 'NA', 'sofa': 'NA', 'armchair': 'NA', 'seat': 'NA'}}",33,0,"['chair', 'sofa', 'armchair', 'seat']",A red chair,A very big red chair,A red chair in a living room with pictures on the wall
12,10655,2359102,796043,http://object-naming-amore.upf.edu//2359102_796043_supercat_unique.png,https://cs.stanford.edu/people/rak248/VG_100K/2359102.jpg,table,home,furnishing.n.02,{'dining table': 1.0},1.0,{'None': 1.0},2359102.jpg,"instrumentality, instrumentation","[0, 94, 499, 280]","[{31: ['table', 'dining table']}, {2: ['tablecloth']}, {2: ['wine glass']}]",table,"{'table': 29, 'dining table': 2}","{'wine glass': 2, 'tablecloth': 2}",{'wine': 1},"{'wine glass': 0.67, 'tablecloth': 1.0, 'table': 1.0, 'dining table': 1.0}","{'wine glass': {'None': 0.3, 'bounding box': 0.7}, 'tablecloth': {'None': 1.0}, 'table': {'None': 1.0}, 'dining table': {'None': 1.0}}",31,0.935483870967742,0.345117314944953,2,home,train,"{'wine glass': {'wine glass': 1.0, 'tablecloth': 0.0, 'table': 0.0, 'dining table': 0.0}, 'tablecloth': {'wine glass': 0.0, 'tablecloth': 1.0, 'table': 0.0, 'dining table': 0.0}, 'table': {'wine glass': 0.0, 'tablecloth': 0.0, 'table': 1.0, 'dining table': 1.0}, 'dining table': {'wine glass': 0.0, 'tablecloth': 0.0, 'table': 1.0, 'dining table': 1.0}}",31,4,"['dining', 'table']",Wine glass,Red box with one word on it,A glass of wine
13,17607,2385122,1300814,http://object-naming-amore.upf.edu//2385122_1300814_supercat_unique.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2385122.jpg,table,home,furnishing.n.02,{'table': 1.0},1.0,{'None': 1.0},2385122.jpg,"instrumentality, instrumentation","[0, 347, 372, 153]",[{36: ['table']}],table,{'table': 36},{},{},{'table': 1.0},{'table': {'None': 1.0}},36,1.0,0.0,1,home,train,{'table': {'table': 1.0}},36,0,['table'],a doughnut,a doughnut,a donut
14,23151,2409333,244022,http://object-naming-amore.upf.edu//2409333_244022_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2409333.jpg,counter,home,furnishing.n.02,{'table': 1.0},0.93,"{'visual': 0.1, 'None': 0.9}",2409333.jpg,"instrumentality, instrumentation","[3, 171, 369, 327]","[{21: ['counter', 'table']}, {5: ['food']}, {3: ['banana']}]",table,"{'table': 14, 'counter': 7}","{'food': 5, 'banana': 3}","{'fruits': 1, 'plate': 1, 'ice cream': 1, 'desk': 1, 'countertop': 1, 'icebreaker': 1, 'breakfast': 1}","{'food': 0.29, 'banana': 0.21, 'table': 0.86, 'counter': 0.93}","{'food': {'bounding box': 0.9, 'None': 0.1}, 'banana': {'bounding box': 0.9, 'None': 0.1}, 'table': {'visual': 0.3, 'None': 0.7}, 'counter': {'visual': 0.1, 'None': 0.9}}",21,0.6666666666666666,0.9182958340544892,2,home,test,"{'food': {'food': 1.0, 'banana': 0.29, 'table': 0.0, 'counter': 0.0}, 'banana': {'food': 0.29, 'banana': 1.0, 'table': 0.0, 'counter': 0.0}, 'table': {'food': 0.0, 'banana': 0.0, 'table': 1.0, 'counter': 1.0}, 'counter': {'food': 0.0, 'banana': 0.0, 'table': 1.0, 'counter': 1.0}}",21,8,['counter'],Banana ice cream,banana ix cream,Banana ice cream
15,15141,2375131,3694761,http://object-naming-amore.upf.edu//2375131_3694761_seed_ambiguous.png,https://cs.stanford.edu/people/rak248/VG_100K/2375131.jpg,bench,home,furnishing.n.02,{'table': 0.67},1.0,{'None': 1.0},2375131.jpg,"instrumentality, instrumentation","[15, 177, 466, 312]","[{25: ['table', 'bench']}, {2: ['chi']}, {3: ['shirt']}]",bench,"{'bench': 23, 'table': 2, 'seat': 1}","{'shirt': 3, 'chi': 2}","{'child': 1, 'boy': 1, 'bowl': 1, 'food': 1, 't-shirt': 1}","{'chi': 0.33, 'shirt': 0.5, 'bench': 1.0, 'table': 0.67, 'seat': 'NA'}","{'chi': {'bounding box': 0.7, 'other': 0.3}, 'shirt': {'bounding box': 1.0}, 'bench': {'None': 1.0}, 'table': {'bounding box': 0.7, 'None': 0.3}, 'seat': 'NA'}",26,0.8846153846153846,0.6219041416291194,3,home,train,"{'chi': {'chi': 1.0, 'shirt': 0.0, 'bench': 0.0, 'table': 0.0, 'seat': 'NA'}, 'shirt': {'chi': 0.0, 'shirt': 1.0, 'bench': 0.0, 'table': 0.0, 'seat': 'NA'}, 'bench': {'chi': 0.0, 'shirt': 0.0, 'bench': 1.0, 'table': 0.67, 'seat': 'NA'}, 'table': {'chi': 0.0, 'shirt': 0.0, 'bench': 0.67, 'table': 1.0, 'seat': 'NA'}, 'seat': {'chi': 'NA', 'shirt': 'NA', 'bench': 'NA', 'table': 'NA', 'seat': 'NA'}}",26,5,"['bench', 'seat']",A child eating a meal,A toddler boy eating a fruit and veg omelette,A child with a fork and a plate of food in front of him
16,11816,2363189,767379,http://object-naming-amore.upf.edu//2363189_767379_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2363189.jpg,bench,home,furnishing.n.02,{},1.0,{'None': 1.0},2363189.jpg,"instrumentality, instrumentation","[192, 253, 272, 219]",[{35: ['bench']}],bench,{'bench': 35},{},{'rhombencephalon': 1},{'bench': 1.0},{'bench': {'None': 1.0}},35,1.0,0.0,1,home,train,{'bench': {'bench': 1.0}},35,0,['bench'],The bench,A park bench,A bench in a park with a tree in the background
17,13827,2370391,3858862,http://object-naming-amore.upf.edu//2370391_3858862_seed_ambiguous.png,https://cs.stanford.edu/people/rak248/VG_100K/2370391.jpg,counter,home,furnishing.n.02,"{'desk': 1.0, 'table': 1.0}",1.0,{'None': 1.0},2370391.jpg,"instrumentality, instrumentation","[0, 176, 380, 107]","[{22: ['desk', 'table']}, {11: ['cup']}]",desk,"{'desk': 11, 'table': 11}",{'cup': 11},"{'desktop': 1, 'mug': 1, 'monitor': 1}","{'desk': 1.0, 'table': 1.0, 'cup': 0.17}","{'desk': {'None': 1.0}, 'table': {'None': 1.0}, 'cup': {'bounding box': 1.0}}",22,0.5,1.0,2,home,train,"{'desk': {'desk': 1.0, 'table': 1.0, 'cup': 0.0}, 'table': {'desk': 1.0, 'table': 1.0, 'cup': 0.0}, 'cup': {'desk': 0.0, 'table': 0.0, 'cup': 1.0}}",22,11,"['desk', 'table']",a laptop computer,The computer with the video screen and a black monitor,a coffee mug with a picture of two men on the front and a picture of a laptop on the
18,2697,2322857,3313417,http://object-naming-amore.upf.edu//2322857_3313417_supercat_ambiguous.png,https://cs.stanford.edu/people/rak248/VG_100K/2322857.jpg,bottle,home,vessel.n.03,"{'beer': 1.0, 'drink': 1.0, 'wine': 1.0}",1.0,{'None': 1.0},2322857.jpg,"instrumentality, instrumentation","[214, 0, 161, 375]","[{33: ['bottle', 'drink', 'wine', 'beer']}]",bottle,"{'bottle': 25, 'drink': 3, 'beer': 2}",{'wine': 3},"{'glass bottle': 1, 'energy drink': 1, 'juice': 1}","{'wine': 0.33, 'bottle': 1.0, 'drink': 1.0, 'beer': 0.5}","{'wine': {'visual': 1.0}, 'bottle': {'None': 1.0}, 'drink': {'None': 1.0}, 'beer': {'None': 0.3, 'visual': 0.7}}",30,0.8333333333333334,0.8118475207241325,3,home,train,"{'wine': {'wine': 1.0, 'bottle': 1.0, 'drink': 1.0, 'beer': 1.0}, 'bottle': {'wine': 1.0, 'bottle': 1.0, 'drink': 1.0, 'beer': 1.0}, 'drink': {'wine': 1.0, 'bottle': 1.0, 'drink': 1.0, 'beer': 1.0}, 'beer': {'wine': 1.0, 'bottle': 1.0, 'drink': 1.0, 'beer': 1.0}}",30,3,"['bottle', 'beer']",A bottle of wine,bottle of red wine,A bottle of wine and a bag of carrots
19,500,4549,1560609,http://object-naming-amore.upf.edu//4549_1560609_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K_2/4549.jpg,carpet,home,furnishing.n.02,"{'rug': 1.0, 'floor': 0.33}",1.0,{'None': 1.0},4549.jpg,"instrumentality, instrumentation","[50, 392, 702, 208]","[{22: ['rug', 'carpet']}, {4: ['chair']}, {9: ['floor']}]",carpet,"{'carpet': 17, 'floor': 9, 'rug': 5}",{'chair': 4},{},"{'chair': 0.5, 'carpet': 1.0, 'floor': 0.67, 'rug': 1.0}","{'chair': {'bounding box': 1.0}, 'carpet': {'None': 1.0}, 'floor': {'bounding box': 0.7, 'None': 0.3}, 'rug': {'None': 1.0}}",31,0.5483870967741935,1.4178790913974109,3,home,train,"{'chair': {'chair': 1.0, 'carpet': 0.0, 'floor': 0.0, 'rug': 0.0}, 'carpet': {'chair': 0.0, 'carpet': 1.0, 'floor': 0.33, 'rug': 1.0}, 'floor': {'chair': 0.0, 'carpet': 0.33, 'floor': 1.0, 'rug': 0.33}, 'rug': {'chair': 0.0, 'carpet': 1.0, 'floor': 0.33, 'rug': 1.0}}",31,4,"['carpet', 'floor', 'rug']",The chair,the first chair on the left of the doorway,Chair
20,10622,2358996,2387736,http://object-naming-amore.upf.edu//2358996_2387736_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K/2358996.jpg,carpet,home,furnishing.n.02,"{'floor': 0.67, 'rug': 1.0}",1.0,{'None': 1.0},2358996.jpg,"instrumentality, instrumentation","[0, 203, 500, 78]","[{27: ['floor', 'rug', 'carpet']}, {2: ['coat']}, {2: ['group']}]",floor,"{'floor': 14, 'carpet': 9, 'rug': 4}","{'coat': 2, 'group': 2}","{'pole': 1, 'tie': 1, 'feet': 1, 'shoe': 1}","{'group': 0.17, 'coat': 0.17, 'floor': 1.0, 'carpet': 1.0, 'rug': 0.67}","{'group': {'other': 0.3, 'bounding box': 0.7}, 'coat': {'other': 0.3, 'bounding box': 0.7}, 'floor': {'None': 1.0}, 'carpet': {'None': 1.0}, 'rug': {'other': 0.3, 'None': 0.7}}",27,0.5185185185185185,1.4277655050602365,3,home,train,"{'group': {'group': 1.0, 'coat': 0.0, 'floor': 0.0, 'carpet': 0.0, 'rug': 0.0}, 'coat': {'group': 0.0, 'coat': 1.0, 'floor': 0.0, 'carpet': 0.0, 'rug': 0.0}, 'floor': {'group': 0.0, 'coat': 0.0, 'floor': 1.0, 'carpet': 0.67, 'rug': 0.67}, 'carpet': {'group': 0.0, 'coat': 0.0, 'floor': 0.67, 'carpet': 1.0, 'rug': 1.0}, 'rug': {'group': 0.0, 'coat': 0.0, 'floor': 0.67, 'carpet': 1.0, 'rug': 1.0}}",27,4,"['floor', 'carpet', 'rug']","the first name that comes to mind is ""kim jong-il""",company logo,그리고 그리고
21,15968,2378105,1733879,http://object-naming-amore.upf.edu//2378105_1733879_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2378105.jpg,table,home,furnishing.n.02,{},1.0,{'None': 1.0},2378105.jpg,"instrumentality, instrumentation","[1, 198, 496, 175]","[{11: ['oranges', 'orange']}, {22: ['table']}]",table,{'table': 22},"{'orange': 7, 'oranges': 4}","{'bowl': 1, 'fruit': 1}","{'orange': 0.67, 'oranges': 0.67, 'table': 1.0}","{'orange': {'None': 0.3, 'bounding box': 0.7}, 'oranges': {'None': 0.3, 'bounding box': 0.7}, 'table': {'None': 1.0}}",22,1.0,0.0,1,home,train,"{'orange': {'orange': 1.0, 'oranges': 1.0, 'table': 0.0}, 'oranges': {'orange': 1.0, 'oranges': 1.0, 'table': 0.0}, 'table': {'orange': 0.0, 'oranges': 0.0, 'table': 1.0}}",22,11,['table'],The orange bowl,Oranges,A bowl of oranges
22,23739,2411507,310842,http://object-naming-amore.upf.edu//2411507_310842_singleton_obj.png,https://cs.stanford.edu/people/rak248/VG_100K_2/2411507.jpg,desk,home,furnishing.n.02,{'table': 1.0},1.0,{'None': 1.0},2411507.jpg,"instrumentality, instrumentation","[131, 155, 244, 181]","[{32: ['table', 'desk']}]",desk,"{'desk': 23, 'table': 9}",{},"{'key board': 1, 'chair': 1, 'wood': 1, 'electronics': 1}","{'desk': 1.0, 'table': 1.0}","{'desk': {'None': 1.0}, 'table': {'None': 1.0}}",32,0.71875,0.8571484374283715,2,home,train,"{'desk': {'desk': 1.0, 'table': 1.0}, 'table': {'desk': 1.0, 'table': 1.0}}",32,0,"['desk', 'table']",A desk with a laptop computer on it,,A desk with a laptop on it
