number label,actual name,familiarity score,nameability score,color saliency,texture saliency,"BLIP-2, greedy, caption","BLIP-2, greedy, bool","BLIP-2, greedy, name","BLIP-2, greedy, real","BLIP-2, nucleus, top_p=0.1, caption","BLIP-2, nucleus, top_p=0.1, bool","BLIP-2, nucleus, top_p=0.1, name","BLIP-2, nucleus, top_p=0.1, real","BLIP-2, nucleus, top_p=0.5, caption","BLIP-2, nucleus, top_p=0.5, bool","BLIP-2, nucleus, top_p=0.5, name","BLIP-2, nucleus, top_p=0.5, real","BLIP-2, nucleus, top_p=0.9, caption","BLIP-2, nucleus, top_p=0.9, bool","BLIP-2, nucleus, top_p=0.9, name","BLIP-2, nucleus, top_p=0.9, real","BLIP-2, beam, num_beams=1, caption","BLIP-2, beam, num_beams=1, bool","BLIP-2, beam, num_beams=1, name","BLIP-2, beam, num_beams=1, real","BLIP-2, beam, num_beams=5, caption","BLIP-2, beam, num_beams=5, bool","BLIP-2, beam, num_beams=5, name","BLIP-2, beam, num_beams=5, real","BLIP-2, beam, num_beams=10, caption","BLIP-2, beam, num_beams=10, bool","BLIP-2, beam, num_beams=10, name","BLIP-2, beam, num_beams=10, real"
2011,noisemaker,22,75,88,3,a green and orange plastic toy with two handles,"Yes, I recognize this object",a toy,A toy that is made of plastic and has two orange and green plastic handles,a green and orange plastic toy with two handles,"Yes, I recognize this object",a toy,A toy that is made of plastic and has two orange and green plastic handles,a plastic toy that has two orange and green handles,Yes,a plastic water gun,A toy.,hot sale wooden wooden kids spinning wheel - chenzhen,"Yes, I do",a screwdriver,"This is a plastic drill, but you will have a better chance of actually getting the thing to spin",a green and orange plastic toy with two handles,"Yes, I recognize this object",a toy,A toy that is made of plastic and has two orange and green plastic handles,a green and orange plastic toy with two handles,Unknown,a plastic toy with two orange and green balls attached to it,This is a plastic toy with two orange and one green handle,a green and orange plastic toy on a white background,Unknown,the object in this image is an orange and green plastic toy,This is a plastic toy with two orange and one green handle
2012,coiled worm toy,41,50,59,41,a red plastic toy with orange tentacles,"Yes, I recognize this object.",a red sea urchin,A red sea urchin,a red plastic toy with orange tentacles,"Yes, I recognize this object.",a red sea urchin,A red sea urchin,a pink plastic sea anemone with orange tentacles,Yes,an orange sea urchin,A plastic sea urchin,a red plastic spider and red spikes sitting on a white background,I don't know.  It's not an echinus.  I guess not.,"a red anemone, red coral",I really think this is a pink plastic sea urchin.,a red plastic toy with orange tentacles,"Yes, I recognize this object.",a red sea urchin,A red sea urchin,a red and orange plastic sea urchin on a white background,"No, I do not recognize this object.",a sea urchin,It's a red sea urchin.,a red and orange plastic sea urchin on a white background,"No, I do not recognize this object.",a sea urchin,It's a red sea urchin.
2013,sling shot,6,20,87,6,a yellow and orange plastic toy with a foot,"Yes, it is a plastic bottle opener",a tripod,A giant orange and yellow plastic foot,a yellow and orange plastic toy with a foot,"Yes, it is a plastic bottle opener",a tripod,A plastic toy with a yellow and orange top,an orange and yellow toy that is on a stand,yes,a footstool,A lego man in a yellow and orange costume,the stand on top of the stand is orange and yellow,Yes,a leg press,"My first thought is that this is some sort of novelty food or drink holder, as there's nothing",a yellow and orange plastic toy with a foot,"Yes, it is a plastic bottle opener",a tripod,A giant orange and yellow plastic foot,an orange and yellow plastic stand with an orange top,Unknown,the object in this image is an orange and yellow toy,"This is an orange, yellow, and black plastic toy that is shaped like a tripod.",an orange and yellow plastic toy on a white background,Unknown,the object in this image is an orange and yellow toy,This is an orange and yellow plastic toy that is shaped like a tripod
2014,light-up toy,38,75,39,0,a toy ball with a yellow and pink design,"Yes, it is a ball with a yellow handle",a ball,A magic wand.,a toy ball with a yellow and pink design,"Yes, it is a ball with a yellow handle",a ball,A magic wand.,an image of a toy with a colorful ball,A colorful ball with a yellow handle,a ball,A giant purple and yellow ball with a plastic handle,a pink plastic toy with a yellow handle,It is a magic show balloon, ,"A giant, inflatable, pink, purple and gold ball with the face of a clown",a toy ball with a yellow and pink design,"Yes, it is a ball with a yellow handle",a ball,A magic wand.,a pink and yellow ball with a yellow handle,"Yes, I recognize this object.",the object in this image is a pink ball with a yellow handle,It's a magic wand.,a pink and yellow ball with a yellow handle,Unknown,a kazoo,This is a plastic ball with a pink and yellow pattern on it
2015,ball catcher,38,78,55,10,a blue plastic shoe holder with holes on the side,"Yes, I recognize this object.",a blue plastic shoe,A blue plastic shoe holder,a blue plastic shoe holder with holes on the side,"Yes, I recognize this object.",a blue plastic shoe,A blue plastic shoe holder,a blue plastic bottle holder with holes on the side,"Yes, I recognize this object.",blue,A plastic toy car.,a blue plastic device that has a hole in the middle,Blue,the blue plastic bottle holder,I think I want to put this on my wrist.,a blue plastic shoe holder with holes on the side,"Yes, I recognize this object.",a blue plastic shoe,A blue plastic shoe holder,a blue plastic shoe holder on a white background,"No, I do not recognize this object",the object in this image is a blue plastic shoe holder,This is a blue plastic shoe holder with holes in it,a blue plastic shoe holder on a white background,"Yes, I recognize this object.",the object in this image is a blue plastic shoe holder,This is a blue plastic shoe holder with holes in it
2016,bird toy,28,21,61,6,a blue and white mop with a blue handle,"Yes, it is a mop",a mop,A dog toy,a blue and white mop with a yellow handle,"Yes, it is a mop",a mop,A dog toy,a toy with blue and white yarn in the middle,No,a mop,A dog turd in a dog toy,an orange and blue rubber mop in the shape of a cone,It's an orange funnel with white and blue yarn on it,a toy dinglehopper toy,It's a cotton swab - a dog tooth brush,a blue and white mop with a blue handle,"Yes, it is a mop",a mop,A dog toy,an orange and blue mop with blue and white tassels,Unknown,an orange cone with blue and white tassels,It's a mop.,an orange and blue mop with blue and white tassels,Unknown,the object in this image is an orange cone with blue and white tassels,This is an orange and blue plastic cone with blue and white tassels on it
2017,kenetic wheel,41,29,23,13,a metal and plastic device with a blue handle,"Yes, I recognize this object",a metal ball and a metal hook,A toy mouse trap,a metal and plastic device with a blue handle,"Yes, I recognize this object",a cat toy,A metal ball with a plastic handle,a blue and orange toy with a metal hook,yes,a screwdriver,A plastic toy that is attached to a metal rod,a small metal device with a blue and yellow plastic handle,"Yes, it's a cat toy",A plaice,A plastic fruit,a metal and plastic device with a blue handle,"Yes, I recognize this object",a metal ball and a metal hook,A toy mouse trap,a metal and plastic device with an orange ball attached to it,Unknown,the object in this image is a metal hook with a blue and orange ball attached to it,This is a cat toy.,a metal and plastic device with an orange ball attached to it,Unknown,the object in this image is a metal hook with an orange ball attached to it,This is a cat toy.
2018,coils string,16,50,61,6,a yellow plastic container with a lid,"Yes, it is a yellow plastic container",a yellow plastic container,A yellow plastic container with a lid,a yellow plastic container with a lid,"Yes, it is a yellow plastic container",a yellow plastic container,A yellow plastic container with a lid,a yellow plastic bowl with a black lid,"Yes, I recognize this object",a yellow plastic dish,A yellow plastic bowl,the light on top of the yellow cover,I can't tell for sure whether this is a box or not,the object in this image is a round yellow plastic dish with lid,I would bet it is an electronic light,a yellow plastic container with a lid,"Yes, it is a yellow plastic container",a yellow plastic container,A yellow plastic container with a lid,a yellow plastic container with a lid on a white background,Unknown,the object in this image is a yellow plastic container,This is a yellow plastic container with a lid,a yellow plastic container with a lid on a white background,Unknown,the object in this image is a yellow plastic container,This is a yellow plastic container with a hole in the lid
2019,cat nip toy,31,67,38,25,a yellow and orange plastic egg with a white background,"Yes, it is a yellow egg with orange and white stripes",a candy corn,A candy corn egg,a yellow and orange plastic egg with a white background,"Yes, it is a yellow egg with orange and white stripes",a candy corn,A candy corn egg,a yellow and orange egg shaped toy with a fluffy tail,No,a pumpkin,A candy corn.,"a small, yellow, orange and white egg with a long straw","yellow egg, orange egg, yes egg, no egg",a duck-shaped candle holder,"A pumpkin, or maybe a carrot?",a yellow and orange plastic egg with a white background,"Yes, it is a yellow egg with orange and white stripes",a candy corn,A candy corn egg,a yellow and orange plastic egg with a white background,"No, I don't recognize this object.",an orange and yellow egg with an orange and yellow hat on top of it,This is an orange and yellow plastic egg with an orange and yellow hat on top of it,a yellow and orange plastic egg with a white background,"No, I do not recognize this object.",an orange and yellow plastic egg with an orange and yellow hat on top of it,This is an orange and yellow plastic egg with an orange and yellow hat on top of it
2020,ladder of jacob,41,36,29,6,a set of four colorful coasters with a ribbon,"Yes, it is a coaster",a coaster,A set of four colorful coasters,a set of four colorful coasters with a ribbon,"Yes, it is a coaster",a coaster,A set of four colorful coasters,four different colored blocks stacked on top of each other,yes,a square of colored plastic,This is a set of four colorful blocks,four colored plastic coasters on a white surface,yes,"coasters, coasters are made from a hard plastic material that can be placed on top of any",It's a stackable folding coffe table,a set of four colorful coasters with a ribbon,"Yes, it is a coaster",a coaster,A set of four colorful coasters,a set of four wooden coasters in different colors,"Yes, I recognize this object",a coaster,"This is a set of four wooden coasters, each with a different color",a set of four wooden coasters in different colors,Yes,a coaster,"This is a set of four wooden coasters, each with a different color"
2021,foam arrow,9,29,84,3,a pink and green foam ball with four holes,"Yes, I recognize this object.",a flower,A bunch of pink and green balloons,a pink and green flower shaped object,"Yes, I recognize this object.",a flower,A little bit of everything.,a pink and green pipe cleaner with black and white pipes,"No, I do not recognize this object",a pipe cleaner,A little bit of this and a little bit of that.,a toy like the one with pink and green rings,The object is a screwdriver,a toothbrush,"A penis butt plug, of course.I’m sorry you feel this way. Have",a pink and green foam ball with four holes,"Yes, I recognize this object.",a flower,A bunch of pink and green balloons,a bunch of pink and green balloons on a white background,"Yes, I recognize this object.","the object in this image is a pink, green and black flower",It's a little bit of everything. It's a little bit of everything. It's a little,a bunch of pink and green balloons sitting on top of each other,Unknown,"the object in this image is a bunch of pink, green and black pipe cleaners","It looks like a bunch of pink, green, and black pipe cleaners, but it's actually a"
2022,marker,9,15,70,13,a green plastic cone with a small hole,"Yes, it is a green plastic cone",a green plastic cone,A green plastic water bottle,a green plastic cone with a small hole,"Yes, it is a green plastic cone",a green plastic cone,A green plastic water bottle,green plastic cone with white background,Green,green cone,A green water bottle,a green plastic pot holder sitting on top of a white background,"No, I do not recognize this object, but I recognize the shape",a cup,It's an oversized water bottle.,a green plastic cone with a small hole,"Yes, it is a green plastic cone",a green plastic cone,A green plastic water bottle,a green plastic object sitting on top of a white background,Unknown,a green plastic water bottle with a hole in the top,This is a green plastic water bottle with a hole in the top,a green plastic object sitting on top of a white background,Unknown,the object in this image is a green plastic cone,This is a green plastic water bottle with a hole in the top
2023,color changing ball,13,31,87,17,a black and white ball with a white and black design,"Yes, it is a black and white ball",a ball,A black and white ball with a bunch of white and black objects,a black and white ball with a white and black design,"Yes, it is a black and white ball",a ball,A black and white ball with a bunch of white and black objects,a white and black plastic ball with many pieces,Yes,a white and black ball,It's a vase made from the discarded records of the 70s,white and black colored ball is on display,The object is a black and white disc with a white circular rim,a black and white sphere with a lot of small balls inside,A piece of art made from paper!,a black and white ball with a white and black design,"Yes, it is a black and white ball",a ball,A black and white ball with a bunch of white and black objects,a black and white sculpture of a ball on a white surface,"Yes, I recognize this object.",a black and white ball,I think this is a black and white ball with a bunch of black and white balls inside of it,a close up of a black and white ball on a white surface,"No, I do not recognize this object.",the object in this image is a black and white ball,I think this is a black and white ball with a bunch of black and white balls inside of it
2024,connected disk toy,81,44,41,3,"a toy that is made of plastic and has a yellow, red and blue star",Yes,a toy,"A toy that is made of plastic and has a yellow, red and blue star on it","a toy that is made of plastic and has a yellow, red and blue star",Yes,a toy,"A toy that is made of plastic and has a yellow, red and blue star on it",a toy is made of several pieces of plastic,Yes,a star,"It's a toy that has a star shape, and a lot of colors",stellaluna star shaped puzzle toy for kids,"Yes, it is the sun",a star,A giant green butterfly.,"a toy that is made of plastic and has a yellow, red and blue star",Yes,a toy,"A toy that is made of plastic and has a yellow, red and blue star on it","a yellow, blue and red plastic toy with a star on it","Yes, I recognize this object.",a sunflower.,I think it's a toy.,"a yellow, blue, and red plastic toy that is shaped like a star",Unknown,"it's a toy, a toy, a toy, a toy, a toy, a toy,",I think it's a toy.
2025,boomerang,6,14,58,13,a blue plastic foot rest with a white background,"Yes, it is a blue plastic foot rest",a shoe,A blue plastic footrest,a blue plastic foot rest with a white background,"Yes, it is a blue plastic foot rest",a shoe,A blue plastic footrest,the shoe has been made with blue and white marble,Yes,the foot,A pair of blue orthotic insoles,a 3d model of a blue shoe with a small shoe on it,Yes,"I'm sorry, I can't answer that question, I have no idea","A 3D printed toy airplane, but it's the only toy in a sea of sand",a blue plastic foot rest with a white background,"Yes, it is a blue plastic foot rest",a shoe,A blue plastic footrest,an image of a blue shoe with a white background,Unknown,the object in this image is a blue shoe,"I think it's a footrest for a chair, but I don't know what kind of chair",a blue plastic foot rest on a white surface,Unknown,the object in this image is a blue shoe,I don't know. I don't know. I don't know. I don't know.
2026,dog toy,16,71,63,17,a green and red plastic toy on a white background,"Yes, it is a green and red plastic toy",a dog bone,A dog toy,a green and red plastic toy on a white background,"Yes, it is a green and red plastic toy",a dog bone,A dog toy,a green plastic toy that has a red handle,"No, this is not a real answer.",a toothbrush,A toy dog bone,green hand grip with red handle,Yes,A dog chew toy,A dog bone,a green and red plastic toy on a white background,"Yes, it is a green and red plastic toy",a dog bone,A dog toy,a green and red plastic dog toy on a white background,"Yes, I recognize this object.",the object in this image is a green and red dog toy,This is a green and red plastic dog toy,a green and red dog toy on a white background,Unknown,the object in this image is green and red,This is a green and red plastic dog toy
2027,cover for room fresheners,22,38,47,9,a white ball with a hole in the middle,"Yes, I recognize this object",a ball,A ball of plastic,a white ball with a hole in the middle,"Yes, I recognize this object",a ball,A ball of plastic,a white plastic ball with a hole in the top,No,a ball,A ball of pure white plastic,an image of a white plastic toy ball,"yes or no, the object is a white ball",a ball.,"I don't know what it is, but I'm pretty sure it's a baseball and I'm",a white ball with a hole in the middle,"Yes, I recognize this object",a ball,A ball of plastic,a white plastic ball on a white surface,"No, I do not recognize this object",a ball,This is a white plastic ball with a hole in the middle,a white plastic ball sitting on top of a white surface,"No, I do not recognize this object",the object in this image is a white ball,This is a white plastic ball with a hole in the middle
2028,cat toy,6,47,53,63,a pink donut with three pom poms on it,"Yes, it is a pink donut",a donut,A pink donut with a pink handle,a pink donut with three pom poms on it,"Yes, it is a pink donut",a donut,A pink donut with a pink pom pom on top,a pink donut with two pom poms attached to it,"Yes, it's a dog toy",a pink pom pom dog,A cute little stuffed animal that looks like a donut,an animal head with several little pink pom poms,"Yes I know what this is, but you have to tell me yes or no.",a pink furry snow globe,This is the best thing to ever exist,a pink donut with three pom poms on it,"Yes, it is a pink donut",a donut,A pink donut with a pink handle,a pair of pink pom poms on a white background,"Yes, I recognize this object.",a donut,It's a donut holder.,a pair of pink pom poms on a white background,Unknown,a donut.,It’s a donut.
2029,cover for room fresheners,19,27,65,16,a black plastic device with a hole in the middle,"Yes, it is a black plastic button",a black plastic cylinder,A black plastic button with a hole in the middle,a black plastic device with a hole in the middle,"Yes, it is a black plastic cylinder with a hole in the middle",a black plastic cylinder,A black plastic button with a hole in the middle,a black plastic piece of the side of a camera,"Yes, I recognize this object",a small plastic tube with a black hole in the middle,A gun mount for a gun.,"m-1 glock trigger guard, m-1 glock trigger guard, glock trigger guard","A light switch, light fixture, light bulb or light cover",a black and white pipe with a hole in the bottom and one side,I think we should have taken the whole thing out,a black plastic device with a hole in the middle,"Yes, it is a black plastic button",a black plastic cylinder,A black plastic button with a hole in the middle,a close up of a black plastic device on a white background,Unknown,the object in this image is a black plastic device,I think it's a piece of black plastic with a hole in it,a close up of a black plastic device on a white background,Unknown,the object in this image is a black object with a hole in it,I don't know. I don't know what it is. I don't know what it is
2030,marker,9,43,53,0,a blue and purple plastic toy with a face,"Yes, it is a blue and purple plastic toy",a blue and purple plastic toy,A cute little blue and purple plastic toy,a blue and purple plastic toy with a face,"Yes, it is a blue and purple plastic toy",a blue and purple plastic toy,A cute little blue and purple plastic toy,a blue plastic figurine with a purple top,Yes,a little piggy bank,A cute little piggy bank,a cute blue and white figurine sits against a white wall,You are looking at a robot designed for work at home and it will not answer.,a man in a blue hat with a purple top,This is a tiny bird bath,a blue and purple plastic toy with a face,"Yes, it is a blue and purple plastic toy",a blue and purple plastic toy,A cute little blue and purple plastic toy,a blue and purple figurine on a white background,"Yes, I recognize this object",a water bottle with a blue lid and a purple handle,I think it's a cute little toy.,a blue and purple figurine on a white background,"Yes, I recognize this object.",a small blue and purple figurine on a white background,I really think this is a cute little piggy bank.
2031,book end,16,32,35,26,a metal object with a curved shape,"Yes, I recognize this object.",a metal wave,A metal wave shaped object,a metal object with a curved shape,"Yes, I recognize this object.",a metal wave,A metal armrest,a silver metal object with a curved shape,"No, I don't recognize this object.",a metal bracket,A metal hook for hanging clothes,the metal and gray color is ideal for home decor,"Yes, we do recognize this object!",a metal folding bench, ,a metal object with a curved shape,"Yes, I recognize this object.",a metal wave,A metal wave shaped object,stainless steel bracket with a curved shape,Unknown,the object in this image is a stainless steel arm rest,I think this is a piece of metal that has been bent to look like a wave.,an image of a metal object on a white background,Only answer with Unknown,the object in this image is a stainless steel arm rest,I don't know.  I don't know.  I don't know.  I don
2032,submarine,47,90,50,3,a toy airplane shaped like a rocket on a white background,"Yes, it is a rocket",a rocket,A toy rocket,a toy airplane shaped like a rocket on a white background,"Yes, it is a rocket",a rocket,A toy rocket,a toy airplane shaped like a plane on a white background,"Yes, it is a rocket.",an orange plastic toy with a blue and white propeller,A little orange rocket with a blue wing,magnasonic rocket booster toy for children,No,the space shuttle,A little orange rubber bird,a toy airplane shaped like a rocket on a white background,"Yes, it is a rocket",a rocket,A toy rocket,an orange plastic toy airplane on a white background,"Yes, I recognize this object.",an orange rocket shaped toy on a white background,This is an orange plastic toy airplane with a blue propeller on top,an orange plastic toy airplane on a white background,"Yes, I recognize this object.",the object in this image is an orange toy airplane,This is an orange and blue plastic toy that looks like a rocket ship
2033,cat toy cage,9,57,55,3,a small orange plastic basket with a green handle,Yes,a toy box,A toy box,a small orange plastic basket with a green handle,Yes,a toy box,A toy box,an orange plastic box with a green and white design,"No, I do not recognize this object.",a basket,A toy box,"orange plastic chair, with green handles and a metal bar",Orange,a plastic tray.,"The new version of the kangaroo shoeHaha, they are actually taking out the """,a small orange plastic basket with a green handle,Yes,a toy box,A toy box,an orange plastic basket with a green handle,"No, I do not recognize this object",an orange plastic box with a green handle,This is an orange and green plastic toy box,an orange plastic storage box with a green handle,Unknown,the object in this image is an orange crate,This is an orange and green plastic box with a hole in the top and a hole in the bottom
