image_path,number label,actual name,familiarity score,nameability score,color saliency,texture saliency,BLIP-2, OPT-2.7b descriptions,"BLIP-2, OPT-2.7b question","BLIP-2, OPT-2.7b question"
data/NOUN-2-600DPI\2038-600.jpg,2038,led top,28,64,61,a colorful plastic heart shaped toy with a rainbow colored ribbon,,
data/NOUN-2-600DPI\2039-600.jpg,2039,rubber toy found in toy aisle,31,64,63,a green plastic cross shaped toy with a green plastic handle,,
data/NOUN-2-600DPI\2040-600.jpg,2040,massager,34,38,23,a blue and yellow ball with a blue and yellow tangle,,
data/NOUN-2-600DPI\2041-600.jpg,2041,small personal fan without blades,38,67,81,a wooden toy with four balls on it,,
data/NOUN-2-600DPI\2042-600.jpg,2042,clacker,66,76,65,a blue and yellow plastic spray bottle,,
data/NOUN-2-600DPI\2043.jpg,2043,diving toy with small weight,6,27,94,a toy with a green and pink ball on it,,
data/NOUN-2-600DPI\2044-600.jpg,2044,wooden ball toy,25,29,3,a toy with an orange and blue ball on it,,
data/NOUN-2-600DPI\2045-600.jpg,2045,keychain with bubbles inside,34,67,42,a wooden spoon with five holes on it,,
data/NOUN-2-600DPI\2046-600.jpg,2046,perfume sprayer,41,32,50,a small clear plastic box with a key chain,,
data/NOUN-2-600DPI\2047-600.jpg,2047,worm ball with hands and stars cut off,13,47,55,a black and silver metal cylinder with a white background,,
data/NOUN-2-600DPI\2048-600.jpg,2048,slide whistle,19,44,39,a pile of colorful plastic balls on a white background,,
data/NOUN-2-600DPI\2049-600.jpg,2049,mobile phone stand for a car,31,68,45,a blue pen with a metal hook on it,,
data/NOUN-2-600DPI\2050-600.jpg,2050,finger castanet,53,60,47,a black plastic car mount with a black plastic base,,
data/NOUN-2-600DPI\2051-600.jpg,2051,noisemaker,41,53,63,a green toilet seat with a pink bow on it,,
data/NOUN-2-600DPI\2052-600.jpg,2052,hand castanet,44,79,45,a green and pink plastic flower holder,,
data/NOUN-2-600DPI\2053-600.jpg,2053,floating ball game,3,25,38,a red and black metal pole with two black handles,,
data/NOUN-2-600DPI\2054-600.jpg,2054,aroma therapy oil burner,13,33,53,a wooden stick with a red handle on a white background,,
data/NOUN-2-600DPI\2055-600.jpg,2055,dog toy,19,59,61,a green vase with holes in it,,
data/NOUN-2-600DPI\2056-600.jpg,2056,spout for watering can,34,32,35,a toy plane made of colorful plastic,,
data/NOUN-2-600DPI\2057-600.jpg,2057,hole for children golf game,22,33,58,a red fan with a black handle on a white background,,
data/NOUN-2-600DPI\2058-600.jpg,2058,maraca pen,75,92,28,a pink plastic toilet seat cover,,
data/NOUN-2-600DPI\2059-600.jpg,2059,dog toy with removed rope,38,32,55,a purple spoon with a handle on a white background,,
data/NOUN-2-600DPI\2060-600.jpg,2060,dog toy,53,53,59,a red plastic toy with a flower shape,,
data/NOUN-2-600DPI\2061-600.jpg,2061,dog toy,44,56,29,a green donut toy with colorful dots on it,,
data/NOUN-2-600DPI\2062-600.jpg,2062,magic loops,25,38,13,an orange plastic ring with spikes on it,,
data/NOUN-2-600DPI\2063-600.jpg,2063,massager,28,33,45,a metal sculpture of a planet with multi colored beads,,
